"","prop","iso_alpha_3_code","year"
"1",2.40227290471812e-05,"AFG",1985
"2",4.69257466968566e-05,"AFG",1986
"3",7.11982503650575e-05,"AFG",1987
"4",0.000112515434943174,"AFG",1988
"5",0.000155450848494644,"AFG",1989
"6",0.000203513086637063,"AFG",1990
"7",0.000256987924731268,"AFG",1991
"8",0.0003198980231051,"AFG",1992
"9",0.000414909818802098,"AFG",1993
"10",0.000490461222897892,"AFG",1994
"11",0.000567951913205683,"AFG",1995
"12",0.0006529666294138,"AFG",1996
"13",0.000727727564762033,"AFG",1997
"14",0.000753549482872244,"AFG",1998
"15",0.000891086415272172,"AFG",1999
"16",0.000970478674151296,"AFG",2000
"17",0.00104516019567305,"AFG",2001
"18",0.00109851718348714,"AFG",2002
"19",0.00121147859417185,"AFG",2003
"20",0.00128945686169697,"AFG",2004
"21",0.00136117334403936,"AFG",2005
"22",0.00143856828740724,"AFG",2006
"23",0.00152836390620943,"AFG",2007
"24",0.00162436969526695,"AFG",2008
"25",0.00166518402926716,"AFG",2009
"26",0.0016709217938839,"AFG",2010
"27",0.00168923830286434,"AFG",2011
"28",0.00173630345302612,"AFG",2012
"29",0.00178900665906755,"AFG",2013
"30",0.00178105931171885,"AFG",2014
"31",0.00178061345594966,"AFG",2015
"32",0.00161928681160853,"AFG",2016
"33",0.00153695420059648,"AFG",2017
"34",0.00173332640161544,"AFG",2018
"35",0.00183962487980715,"AFG",2019
"36",0.00175481102660207,"AFG",2020
"37",0.0017343262546582,"AFG",2021
"38",0.00195975138359781,"AFG",2022
"39",0.00220994343257103,"AFG",2023
"40",0.00918196808697037,"AGO",1985
"41",0.0125930681911433,"AGO",1986
"42",0.0158955691902292,"AGO",1987
"43",0.0209273544561971,"AGO",1988
"44",0.0266514595610423,"AGO",1989
"45",0.0330639447751459,"AGO",1990
"46",0.0422286786161307,"AGO",1991
"47",0.0475270942887747,"AGO",1992
"48",0.0563456393041564,"AGO",1993
"49",0.066410717126399,"AGO",1994
"50",0.0768093405323433,"AGO",1995
"51",0.0849844825602864,"AGO",1996
"52",0.0938686637429984,"AGO",1997
"53",0.0985930729619649,"AGO",1998
"54",0.107358708864772,"AGO",1999
"55",0.114664303694242,"AGO",2000
"56",0.124953460532122,"AGO",2001
"57",0.132078863461017,"AGO",2002
