"iso_alpha_3_code","year","deaths_hiv"
"ZMB",1986,"610"
"ZWE",1986,"797"
"ALB",1986,"0"
"ARM",1986,"0"
"AZE",1986,"0"
"BLR",1986,"0"
"BIH",1986,"0"
"GEO",1986,"0"
"KAZ",1986,"0"
"KGZ",1986,"0"
"MNE",1986,"0"
"MKD",1986,"0"
"MDA",1986,"0"
"RUS",1986,"0"
"TJK",1986,"0"
"TKM",1986,"0"
"UKR",1986,"0"
"UZB",1986,"7"
"ARG",1986,"3"
"BOL",1986,"3"
"BRA",1986,"0"
"CHL",1986,"0"
"COL",1986,"7"
"CRI",1986,"10"
"ECU",1986,"0"
"SLV",1986,"0"
"GTM",1986,"2"
"HND",1986,"36"
"MEX",1986,"162"
"NIC",1986,"0"
"PAN",1986,"9"
"PRY",1986,"0"
"PER",1986,"85"
"URY",1986,"3"
"VEN",1986,"181"
"DZA",1986,"2"
"BHR",1986,"0"
"DJI",1986,"0"
"EGY",1986,"0"
"IRN",1986,"4"
"JOR",1986,"0"
"KWT",1986,"0"
"LBN",1986,"0"
"LBY",1986,"0"
"MAR",1986,"13"
"OMN",1986,"0"
"QAT",1986,"0"
"SAU",1986,"0"
"SOM",1986,"3"
"SDN",1986,"1"
"SYR",1986,"0"
"TUN",1986,"0"
"ARE",1986,"0"
"YEM",1986,"8"
"IRQ",1986,"0"
"BEN",1986,"57"
"BFA",1986,"303"
"BDI",1986,"196"
"CMR",1986,"83"
"CPV",1986,"0"
"CAF",1986,"30"
"TCD",1986,"54"
"COG",1986,"46"
"CIV",1986,"383"
"COD",1986,"2070"
"GNQ",1986,"4"
"GAB",1986,"13"
"GMB",1986,"1"
"GHA",1986,"197"
"GIN",1986,"41"
"GNB",1986,"2"
"LBR",1986,"19"
"MLI",1986,"103"
"MRT",1986,"1"
"NER",1986,"9"
"NGA",1986,"602"
"SEN",1986,"16"
"SLE",1986,"31"
"TGO",1986,"182"
"STP",1986,"1"
"AUT",1986,"0"
"BEL",1986,"0"
"BGR",1986,"0"
"CAN",1986,"0"
"HRV",1986,"0"
"CYP",1986,"0"
"CZE",1986,"0"
"DNK",1986,"0"
"EST",1986,"0"
"FIN",1986,"0"
"FRA",1986,"0"
"DEU",1986,"65"
"GRC",1986,"2"
"HUN",1986,"0"
"ISL",1986,"0"
"IRL",1986,"0"
"ISR",1986,"0"
"ITA",1986,"0"
"LVA",1986,"0"
"LTU",1986,"0"
"LUX",1986,"0"
"MLT",1986,"0"
"NLD",1986,"1"
"NOR",1986,"3"
"POL",1986,"0"
"PRT",1986,"2"
"ROU",1986,"2"
"SRB",1986,"2"
"SVK",1986,"0"
"SVN",1986,"0"
"ESP",1986,"99"
"SWE",1986,"0"
"CHE",1986,"27"
"TUR",1986,"0"
"GBR",1986,"0"
"USA",1986,"0"
"03M49WLD",1987,"25800"
"AFG",1987,"0"
"AUS",1987,"8"
"BGD",1987,"0"
"BTN",1987,"0"
"BRN",1987,"0"
"KHM",1987,"0"
"CHN",1987,"0"
"PRK",1987,"0"
"FJI",1987,"0"
"IND",1987,"0"
"IDN",1987,"0"
"JPN",1987,"0"
"LAO",1987,"0"
"MYS",1987,"0"
"MDV",1987,"0"
"MNG",1987,"0"
"MMR",1987,"0"
"NPL",1987,"0"
"NZL",1987,"3"
"PAK",1987,"0"
"PNG",1987,"0"
"PHL",1987,"0"
"KOR",1987,"0"
"SGP",1987,"0"
"LKA",1987,"0"
"THA",1987,"0"
"TLS",1987,"0"
"VNM",1987,"0"
"BHS",1987,"0"
"BRB",1987,"0"
"BLZ",1987,"0"
"CUB",1987,"11"
"DOM",1987,"20"
"GUY",1987,"0"
"HTI",1987,"181"
"JAM",1987,"15"
"SUR",1987,"2"
"TTO",1987,"5"
"AGO",1987,"37"
"BWA",1987,"35"
"COM",1987,"0"
"ERI",1987,"37"
"SWZ",1987,"0"
"ETH",1987,"846"
"KEN",1987,"829"
"LSO",1987,"12"
"MDG",1987,"0"
"MWI",1987,"1964"
"MUS",1987,"0"
"MOZ",1987,"194"
"NAM",1987,"26"
"RWA",1987,"226"
"ZAF",1987,"576"
"SSD",1987,"74"
"UGA",1987,"6177"
"TZA",1987,"1425"
"ZMB",1987,"993"
"ZWE",1987,"1385"
"ALB",1987,"0"
"ARM",1987,"0"
"AZE",1987,"0"
"BLR",1987,"0"
"BIH",1987,"0"
"GEO",1987,"0"
"KAZ",1987,"0"
"KGZ",1987,"0"
"MNE",1987,"0"
"MKD",1987,"0"
"MDA",1987,"0"
"RUS",1987,"0"
"TJK",1987,"0"
"TKM",1987,"0"
"UKR",1987,"0"
"UZB",1987,"9"
"ARG",1987,"7"
"BOL",1987,"4"
"BRA",1987,"0"
"CHL",1987,"0"
"COL",1987,"13"
"CRI",1987,"12"
"ECU",1987,"1"
"SLV",1987,"1"
"GTM",1987,"3"
"HND",1987,"53"
"MEX",1987,"194"
"NIC",1987,"0"
"PAN",1987,"12"
"PRY",1987,"0"
"PER",1987,"103"
"URY",1987,"4"
"VEN",1987,"210"
"DZA",1987,"2"
"BHR",1987,"0"
"DJI",1987,"0"
"EGY",1987,"0"
"IRN",1987,"6"
"JOR",1987,"0"
"KWT",1987,"0"
"LBN",1987,"0"
"LBY",1987,"0"
"MAR",1987,"17"
"OMN",1987,"0"
"QAT",1987,"0"
"SAU",1987,"0"
"SOM",1987,"4"
"SDN",1987,"2"
"SYR",1987,"0"
"TUN",1987,"1"
"ARE",1987,"0"
"YEM",1987,"9"
"IRQ",1987,"0"
"BEN",1987,"81"
"BFA",1987,"469"
"BDI",1987,"313"
"CMR",1987,"127"
"CPV",1987,"1"
"CAF",1987,"50"
"TCD",1987,"81"
"COG",1987,"93"
"CIV",1987,"611"
"COD",1987,"2698"
"GNQ",1987,"6"
"GAB",1987,"19"
"GMB",1987,"1"
"GHA",1987,"300"
"GIN",1987,"60"
"GNB",1987,"2"
"LBR",1987,"30"
"MLI",1987,"151"
"MRT",1987,"2"
"NER",1987,"14"
"NGA",1987,"896"
"SEN",1987,"23"
"SLE",1987,"45"
"TGO",1987,"254"
"STP",1987,"1"
"AUT",1987,"0"
"BEL",1987,"0"
"BGR",1987,"0"
"CAN",1987,"0"
"HRV",1987,"0"
"CYP",1987,"0"
"CZE",1987,"0"
"DNK",1987,"1"
"EST",1987,"0"
"FIN",1987,"0"
"FRA",1987,"0"
"DEU",1987,"101"
"GRC",1987,"3"
"HUN",1987,"0"
"ISL",1987,"0"
"IRL",1987,"1"
"ISR",1987,"0"
"ITA",1987,"0"
"LVA",1987,"0"
"LTU",1987,"0"
"LUX",1987,"0"
"MLT",1987,"0"
"NLD",1987,"1"
"NOR",1987,"4"
"POL",1987,"0"
"PRT",1987,"5"
"ROU",1987,"3"
"SRB",1987,"3"
"SVK",1987,"0"
"SVN",1987,"0"
"ESP",1987,"159"
"SWE",1987,"0"
"CHE",1987,"42"
"TUR",1987,"0"
"GBR",1987,"0"
"USA",1987,"0"
"03M49WLD",1988,"37111"
"AFG",1988,"1"
"AUS",1988,"13"
"BGD",1988,"0"
"BTN",1988,"0"
"BRN",1988,"0"
"KHM",1988,"0"
"CHN",1988,"0"
"PRK",1988,"0"
"FJI",1988,"0"
"IND",1988,"0"
"IDN",1988,"0"
"JPN",1988,"0"
"LAO",1988,"0"
"MYS",1988,"0"
"MDV",1988,"0"
"MNG",1988,"0"
"MMR",1988,"0"
"NPL",1988,"0"
"NZL",1988,"4"
"PAK",1988,"0"
"PNG",1988,"0"
"PHL",1988,"0"
"KOR",1988,"0"
"SGP",1988,"0"
"LKA",1988,"0"
"THA",1988,"2"
"TLS",1988,"1"
"VNM",1988,"0"
"BHS",1988,"0"
"BRB",1988,"0"
"BLZ",1988,"0"
"CUB",1988,"13"
"DOM",1988,"36"
