"iso_alpha_3_code","UNICEF_Sub_Region_Name","UNICEF_Region_Name","UNPD_Region","UNPD_Sub_Region","UNPD_More_Developed","UNPD_Less_Developed","UNPD_Least_Developed","UNPD_Land_Locked_Developing","UNPD_Small_Island_Developing","SDG_Region","SDG_Sub_Region","World_Bank_Region","World_Bank_Income","UNFPA_Region","WHO_Region"
"KHM","East Asia and Pacific","East Asia and Pacific","Asia","South-Eastern Asia",NA,"Less Developed","Least Developed",NA,NA,"Eastern and South-Eastern Asia","South-Eastern Asia","East Asia & Pacific","Lower middle income","Asia and the Pacific","Western Pacific"
"KIR","East Asia and Pacific","East Asia and Pacific","Oceania","Micronesia",NA,"Less Developed","Least Developed",NA,"Small Island Developing States","Oceania (excluding Australia and New Zealand)","Micronesia","East Asia & Pacific","Lower middle income","Asia and the Pacific","Western Pacific"
"KNA","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Caribbean",NA,"Less Developed",NA,NA,"Small Island Developing States","Latin America and the Caribbean","Caribbean","Latin America & Caribbean","High income","Latin American and Caribbean","Americas"
"KOR","East Asia and Pacific","East Asia and Pacific","Asia","Eastern Asia",NA,"Less Developed",NA,NA,NA,"Eastern and South-Eastern Asia","Eastern Asia","East Asia & Pacific","High income","non-UNFPA","Western Pacific"
"KWT","Middle East and North Africa","Middle East and North Africa","Asia","Western Asia",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Western Asia","Middle East & North Africa","High income","non-UNFPA","Eastern Mediterranean"
"LAO","East Asia and Pacific","East Asia and Pacific","Asia","South-Eastern Asia",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Eastern and South-Eastern Asia","South-Eastern Asia","East Asia & Pacific","Lower middle income","Asia and the Pacific","Western Pacific"
"LBN","Middle East and North Africa","Middle East and North Africa","Asia","Western Asia",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Western Asia","Middle East & North Africa","Lower middle income","Arab States","Eastern Mediterranean"
"LBR","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Low income","West and Central Africa","Africa"
"LBY","Middle East and North Africa","Middle East and North Africa","Africa","Northern Africa",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Northern Africa","Middle East & North Africa","Upper middle income","Arab States","Eastern Mediterranean"
"LCA","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Caribbean",NA,"Less Developed",NA,NA,"Small Island Developing States","Latin America and the Caribbean","Caribbean","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"LIE","Western Europe","Europe and Central Asia",NA,NA,NA,NA,NA,NA,NA,"Europe and Northern America","Western Europe","Europe & Central Asia","High income","non-UNFPA",NA
"LKA","South Asia","South Asia","Asia","Southern Asia",NA,"Less Developed",NA,NA,NA,"Central and Southern Asia","Southern Asia","South Asia","Lower middle income","Asia and the Pacific","South-East Asia"
"LSO","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Southern Africa",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Sub-Saharan Africa","Southern Africa","Sub-Saharan Africa","Lower middle income","East and Southern Africa","Africa"
"LTU","Western Europe","Europe and Central Asia","Europe","Northern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Northern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"LUX","Western Europe","Europe and Central Asia","Europe","Western Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Western Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"LVA","Western Europe","Europe and Central Asia","Europe","Northern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Northern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"MAR","Middle East and North Africa","Middle East and North Africa","Africa","Northern Africa",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Northern Africa","Middle East & North Africa","Lower middle income","Arab States","Eastern Mediterranean"
"MCO","Western Europe","Europe and Central Asia",NA,NA,NA,NA,NA,NA,NA,"Europe and Northern America","Western Europe","Europe & Central Asia","High income","non-UNFPA",NA
"MDA","Eastern Europe and Central Asia","Europe and Central Asia","Europe","Eastern Europe","More Developed",NA,NA,"Land Locked Developing",NA,"Europe and Northern America","Eastern Europe","Europe & Central Asia","Upper middle income","Eastern Europe and Central Asia","Europe"
"MDG","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Eastern Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Eastern Africa","Sub-Saharan Africa","Low income","East and Southern Africa","Africa"
"MDV","South Asia","South Asia","Asia","Southern Asia",NA,"Less Developed",NA,NA,"Small Island Developing States","Central and Southern Asia","Southern Asia","South Asia","Upper middle income","Asia and the Pacific","South-East Asia"
"MEX","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Central America",NA,"Less Developed",NA,NA,NA,"Latin America and the Caribbean","Central America","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"MHL","East Asia and Pacific","East Asia and Pacific","Oceania","Micronesia",NA,"Less Developed",NA,NA,"Small Island Developing States","Oceania (excluding Australia and New Zealand)","Micronesia","East Asia & Pacific","Upper middle income","Asia and the Pacific","Western Pacific"
"MKD","Eastern Europe and Central Asia","Europe and Central Asia","Europe","Southern Europe","More Developed",NA,NA,"Land Locked Developing",NA,"Europe and Northern America","Southern Europe","Europe & Central Asia","Upper middle income","Eastern Europe and Central Asia","Europe"
"MLI","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Low income","West and Central Africa","Africa"
"MLT","Western Europe","Europe and Central Asia","Europe","Southern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Southern Europe","Middle East & North Africa","High income","non-UNFPA","Europe"
"MMR","East Asia and Pacific","East Asia and Pacific","Asia","South-Eastern Asia",NA,"Less Developed","Least Developed",NA,NA,"Eastern and South-Eastern Asia","South-Eastern Asia","East Asia & Pacific","Lower middle income","Asia and the Pacific","South-East Asia"
"MNE","Eastern Europe and Central Asia","Europe and Central Asia","Europe","Southern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Southern Europe","Europe & Central Asia","Upper middle income","non-UNFPA","Europe"
"MNG","East Asia and Pacific","East Asia and Pacific","Asia","Eastern Asia",NA,"Less Developed",NA,"Land Locked Developing",NA,"Eastern and South-Eastern Asia","Eastern Asia","East Asia & Pacific","Lower middle income","Asia and the Pacific","Western Pacific"
"MOZ","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Eastern Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Eastern Africa","Sub-Saharan Africa","Low income","East and Southern Africa","Africa"
"MRT","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Lower middle income","West and Central Africa","Africa"
"MSR","Latin America and Caribbean","Latin America and Caribbean",NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Caribbean",NA,NA,"Latin American and Caribbean",NA
"MUS","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Eastern Africa",NA,"Less Developed",NA,NA,"Small Island Developing States","Sub-Saharan Africa","Eastern Africa","Sub-Saharan Africa","Upper middle income","East and Southern Africa","Africa"
"MWI","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Eastern Africa",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Sub-Saharan Africa","Eastern Africa","Sub-Saharan Africa","Low income","East and Southern Africa","Africa"
"MYS","East Asia and Pacific","East Asia and Pacific","Asia","South-Eastern Asia",NA,"Less Developed",NA,NA,NA,"Eastern and South-Eastern Asia","South-Eastern Asia","East Asia & Pacific","Upper middle income","Asia and the Pacific","Western Pacific"
"NAM","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Southern Africa",NA,"Less Developed",NA,NA,NA,"Sub-Saharan Africa","Southern Africa","Sub-Saharan Africa","Upper middle income","East and Southern Africa","Africa"
"NER","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Low income","West and Central Africa","Africa"
"NGA","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed",NA,NA,NA,"Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Lower middle income","West and Central Africa","Africa"
"NIC","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Central America",NA,"Less Developed",NA,NA,NA,"Latin America and the Caribbean","Central America","Latin America & Caribbean","Lower middle income","Latin American and Caribbean","Americas"
"NIU","East Asia and Pacific","East Asia and Pacific",NA,NA,NA,NA,NA,NA,NA,"Oceania (excluding Australia and New Zealand)","Polynesia",NA,NA,"Asia and the Pacific",NA
"NLD","Western Europe","Europe and Central Asia","Europe","Western Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Western Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"NOR","Western Europe","Europe and Central Asia","Europe","Northern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Northern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"NPL","South Asia","South Asia","Asia","Southern Asia",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Central and Southern Asia","Southern Asia","South Asia","Lower middle income","Asia and the Pacific","South-East Asia"
"NRU","East Asia and Pacific","East Asia and Pacific","Oceania","Micronesia",NA,"Less Developed",NA,NA,"Small Island Developing States","Oceania (excluding Australia and New Zealand)","Micronesia","East Asia & Pacific","High income","Asia and the Pacific","Western Pacific"
"NZL","East Asia and Pacific","East Asia and Pacific","Oceania","Australia/New Zealand","More Developed",NA,NA,NA,NA,"Australia/New Zealand","Australia/New Zealand","East Asia & Pacific","High income","non-UNFPA","Western Pacific"
"OMN","Middle East and North Africa","Middle East and North Africa","Asia","Western Asia",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Western Asia","Middle East & North Africa","High income","Arab States","Eastern Mediterranean"
"PAK","South Asia","South Asia","Asia","Southern Asia",NA,"Less Developed",NA,NA,NA,"Central and Southern Asia","Southern Asia","South Asia","Lower middle income","Asia and the Pacific","Eastern Mediterranean"
"PAN","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Central America",NA,"Less Developed",NA,NA,NA,"Latin America and the Caribbean","Central America","Latin America & Caribbean","High income","Latin American and Caribbean","Americas"
"PER","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","South America",NA,"Less Developed",NA,NA,NA,"Latin America and the Caribbean","South America","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"PHL","East Asia and Pacific","East Asia and Pacific","Asia","South-Eastern Asia",NA,"Less Developed",NA,NA,NA,"Eastern and South-Eastern Asia","South-Eastern Asia","East Asia & Pacific","Lower middle income","Asia and the Pacific","Western Pacific"
"PLW","East Asia and Pacific","East Asia and Pacific","Oceania","Micronesia",NA,"Less Developed",NA,NA,"Small Island Developing States","Oceania (excluding Australia and New Zealand)","Micronesia","East Asia & Pacific","Upper middle income","Asia and the Pacific","Western Pacific"
"PNG","East Asia and Pacific","East Asia and Pacific","Oceania","Melanesia",NA,"Less Developed",NA,NA,"Small Island Developing States","Oceania (excluding Australia and New Zealand)","Melanesia","East Asia & Pacific","Lower middle income","Asia and the Pacific","Western Pacific"
"POL","Western Europe","Europe and Central Asia","Europe","Eastern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Eastern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"PRK","East Asia and Pacific","East Asia and Pacific","Asia","Eastern Asia",NA,"Less Developed",NA,NA,NA,"Eastern and South-Eastern Asia","Eastern Asia","East Asia & Pacific","Low income","Asia and the Pacific","South-East Asia"
"PRT","Western Europe","Europe and Central Asia","Europe","Southern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Southern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"PRY","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","South America",NA,"Less Developed",NA,"Land Locked Developing",NA,"Latin America and the Caribbean","South America","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"PSE","Middle East and North Africa","Middle East and North Africa","Asia","Western Asia",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Western Asia","Middle East & North Africa","Lower middle income","Arab States","Eastern Mediterranean"
"QAT","Middle East and North Africa","Middle East and North Africa","Asia","Western Asia",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Western Asia","Middle East & North Africa","High income","non-UNFPA","Eastern Mediterranean"
"ROU","Eastern Europe and Central Asia","Europe and Central Asia","Europe","Eastern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Eastern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"RUS","Eastern Europe and Central Asia","Europe and Central Asia","Europe","Eastern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Eastern Europe","Europe & Central Asia","Upper middle income","non-UNFPA","Europe"
"RWA","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Eastern Africa",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Sub-Saharan Africa","Eastern Africa","Sub-Saharan Africa","Low income","East and Southern Africa","Africa"
"SAU","Middle East and North Africa","Middle East and North Africa","Asia","Western Asia",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Western Asia","Middle East & North Africa","High income","non-UNFPA","Eastern Mediterranean"
"SDN","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Northern Africa",NA,"Less Developed","Least Developed",NA,NA,"Northern Africa and Western Asia","Northern Africa","Sub-Saharan Africa","Low income","Arab States","Eastern Mediterranean"
"SEN","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Lower middle income","West and Central Africa","Africa"
"SGP","East Asia and Pacific","East Asia and Pacific","Asia","South-Eastern Asia",NA,"Less Developed",NA,NA,"Small Island Developing States","Eastern and South-Eastern Asia","South-Eastern Asia","East Asia & Pacific","High income","non-UNFPA","Western Pacific"
"SLB","East Asia and Pacific","East Asia and Pacific","Oceania","Melanesia",NA,"Less Developed","Least Developed",NA,"Small Island Developing States","Oceania (excluding Australia and New Zealand)","Melanesia","East Asia & Pacific","Lower middle income","Asia and the Pacific","Western Pacific"
"SLE","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Low income","West and Central Africa","Africa"
"SLV","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Central America",NA,"Less Developed",NA,NA,NA,"Latin America and the Caribbean","Central America","Latin America & Caribbean","Lower middle income","Latin American and Caribbean","Americas"
"SMR","Western Europe","Europe and Central Asia",NA,NA,NA,NA,NA,NA,NA,"Europe and Northern America","Southern Europe","Europe & Central Asia","High income","non-UNFPA",NA
"SOM","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Eastern Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Eastern Africa","Sub-Saharan Africa","Low income","Arab States","Eastern Mediterranean"
"SRB","Eastern Europe and Central Asia","Europe and Central Asia","Europe","Southern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Southern Europe","Europe & Central Asia","Upper middle income","Eastern Europe and Central Asia","Europe"
"SSD","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Eastern Africa",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Sub-Saharan Africa","Eastern Africa","Sub-Saharan Africa","Low income","East and Southern Africa","Africa"
"STP","West and Central Africa","Sub-Saharan Africa","Africa","Middle Africa",NA,"Less Developed","Least Developed",NA,"Small Island Developing States","Sub-Saharan Africa","Middle Africa","Sub-Saharan Africa","Lower middle income","West and Central Africa","Africa"
"SUR","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","South America",NA,"Less Developed",NA,NA,"Small Island Developing States","Latin America and the Caribbean","South America","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"SVK","Western Europe","Europe and Central Asia","Europe","Eastern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Eastern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
