"","TimePeriod","Value","Percentile","GeoAreaCode","Nature","Indicator","Time_Detail"
"77",2010,564.961113111682,0.5,98100,"E","3.1.1","Calendar year"
"78",2010,626.365161983161,0.9,98100,"E","3.1.1","Calendar year"
"79",2011,514.30746181594,0.1,98100,"E","3.1.1","Calendar year"
"80",2011,549.141491416723,0.5,98100,"E","3.1.1","Calendar year"
"81",2011,613.460266053182,0.9,98100,"E","3.1.1","Calendar year"
"82",2012,499.606646208022,0.1,98100,"E","3.1.1","Calendar year"
"83",2012,535.402585445454,0.5,98100,"E","3.1.1","Calendar year"
"84",2012,602.699428516563,0.9,98100,"E","3.1.1","Calendar year"
"85",2013,486.446297267419,0.1,98100,"E","3.1.1","Calendar year"
"86",2013,522.823215695757,0.5,98100,"E","3.1.1","Calendar year"
"87",2013,594.431344580731,0.9,98100,"E","3.1.1","Calendar year"
"88",2014,476.185936182167,0.1,98100,"E","3.1.1","Calendar year"
"89",2014,512.925443177181,0.5,98100,"E","3.1.1","Calendar year"
"90",2014,589.953492324973,0.9,98100,"E","3.1.1","Calendar year"
"91",2015,463.773157955071,0.1,98100,"E","3.1.1","Calendar year"
"92",2015,500.914089462415,0.5,98100,"E","3.1.1","Calendar year"
"93",2015,582.453253603094,0.9,98100,"E","3.1.1","Calendar year"
"94",2016,452.616532071213,0.1,98100,"E","3.1.1","Calendar year"
"95",2016,490.468605856682,0.5,98100,"E","3.1.1","Calendar year"
"96",2016,576.473946071331,0.9,98100,"E","3.1.1","Calendar year"
"97",2017,443.135723127969,0.1,98100,"E","3.1.1","Calendar year"
"98",2017,481.163840303678,0.5,98100,"E","3.1.1","Calendar year"
"99",2017,572.378448538071,0.9,98100,"E","3.1.1","Calendar year"
"100",1985,725.837640062131,0.1,98101,"E","3.1.1","Calendar year"
"101",1985,922.484132956797,0.5,98101,"E","3.1.1","Calendar year"
"102",1985,1237.38548619263,0.9,98101,"E","3.1.1","Calendar year"
"103",1986,728.202063921378,0.1,98101,"E","3.1.1","Calendar year"
"104",1986,916.437529339414,0.5,98101,"E","3.1.1","Calendar year"
"105",1986,1211.83370142278,0.9,98101,"E","3.1.1","Calendar year"
"106",1987,721.011031793061,0.1,98101,"E","3.1.1","Calendar year"
"107",1987,903.88317305134,0.5,98101,"E","3.1.1","Calendar year"
"108",1987,1179.82607312137,0.9,98101,"E","3.1.1","Calendar year"
"109",1988,720.279424913164,0.1,98101,"E","3.1.1","Calendar year"
"110",1988,896.4195521336,0.5,98101,"E","3.1.1","Calendar year"
"111",1988,1160.51653981048,0.9,98101,"E","3.1.1","Calendar year"
"112",1989,724.663899797542,0.1,98101,"E","3.1.1","Calendar year"
"113",1989,893.757179630078,0.5,98101,"E","3.1.1","Calendar year"
"114",1989,1142.00788412018,0.9,98101,"E","3.1.1","Calendar year"
"115",1990,738.308947988601,0.1,98101,"E","3.1.1","Calendar year"
"116",1990,899.023158760024,0.5,98101,"E","3.1.1","Calendar year"
"117",1990,1138.652816323,0.9,98101,"E","3.1.1","Calendar year"
"118",1991,744.133924398128,0.1,98101,"E","3.1.1","Calendar year"
"119",1991,901.607765292618,0.5,98101,"E","3.1.1","Calendar year"
"120",1991,1127.50517598147,0.9,98101,"E","3.1.1","Calendar year"
"121",1992,759.552762143079,0.1,98101,"E","3.1.1","Calendar year"
"122",1992,912.946723830111,0.5,98101,"E","3.1.1","Calendar year"
"123",1992,1130.21676946059,0.9,98101,"E","3.1.1","Calendar year"
"124",1993,767.145321525124,0.1,98101,"E","3.1.1","Calendar year"
"125",1993,917.782068028533,0.5,98101,"E","3.1.1","Calendar year"
"126",1993,1130.1201327102,0.9,98101,"E","3.1.1","Calendar year"
"127",1994,768.221167923564,0.1,98101,"E","3.1.1","Calendar year"
"128",1994,914.382080754654,0.5,98101,"E","3.1.1","Calendar year"
"129",1994,1118.40535141031,0.9,98101,"E","3.1.1","Calendar year"
"130",1995,770.824613183892,0.1,98101,"E","3.1.1","Calendar year"
"131",1995,915.299630916108,0.5,98101,"E","3.1.1","Calendar year"
"132",1995,1112.32918978434,0.9,98101,"E","3.1.1","Calendar year"
"133",1996,800.229661110022,0.1,98101,"E","3.1.1","Calendar year"
"134",1996,950.243438780089,0.5,98101,"E","3.1.1","Calendar year"
"135",1996,1155.25739152701,0.9,98101,"E","3.1.1","Calendar year"
"136",1997,781.502885004824,0.1,98101,"E","3.1.1","Calendar year"
"137",1997,920.113569701447,0.5,98101,"E","3.1.1","Calendar year"
