"iso_alpha_3_code","year_start","pahocc_nonmatvr","pahocc_matvr"
"GEO",2016,845,14
"GEO",2017,792,11
"ISR",2000,888,0
"ISR",2001,918,2
"ISR",2002,956,0
"ISR",2003,885,0
"ISR",2004,859,1
"ISR",2005,893,0
"ISR",2006,894,0
"ISR",2007,818,0
"ISR",2008,795,3
"ISR",2009,818,0
"ISR",2010,774,2
"ISR",2011,792,1
"ISR",2012,782,7
"ISR",2013,763,5
"ISR",2014,813,3
"ISR",2015,764,4
"ISR",2016,849,3
"MUS",2010,469,5
"MUS",2011,389,5
"MUS",2012,423,9
"MUS",2013,381,9
"MUS",2014,433,7
"MUS",2015,420,6
"MUS",2016,381,6
"MUS",2017,417,10
"MYS",1992,5199,251
"MYS",1993,5273,246
"MYS",1994,5164,208
"MYS",1995,5544,251
"MYS",1996,6808,220
"MYS",2006,6475,127
"MYS",2007,6519,136
"MYS",2008,6630,133
"NOR",2005,3434,15
"POL",2016,5934,9
"POL",2017,6075,9
"PRT",2017,1453,8
"PSE",2009,558,42
"PSE",2010,478,32
"PSE",2011,469,34
"PSE",2012,489,27
"PSE",2013,476,28
"PSE",2014,683,30
"PSE",2015,505,20
"PSE",2016,509,22
"PSE",2017,534,9
"SRB",1998,2481,9
"SRB",1999,2526,7
"SRB",2000,2373,7
"SRB",2001,2345,7
"SRB",2002,2242,1
"SRB",2003,2149,6
"SRB",2004,2040,2
"SRB",2005,1933,10
"SRB",2006,1833,9
"SRB",2007,1694,5
"SRB",2008,1729,10
"SRB",2009,1652,14
"SRB",2010,1577,12
"SRB",2011,1529,6
"SRB",2012,1479,10
"SRB",2013,1387,9
"SRB",2014,1422,8
"SRB",2015,1429,8
"SRB",2016,1390,7
"SRB",2017,1318,7
"SVK",2002,1241,4
"SVK",2003,1243,2
"SVK",2004,1215,3
"SVK",2005,1242,2
"SVK",2007,1263,0
"SVK",2008,1074,2
"SVK",2009,1076,7
"SVK",2010,1011,0
"SVK",2011,999,6
"SVK",2012,961,2
"SVK",2013,989,1
"SVK",2014,942,2
"SVK",2015,908,1
"SVK",2016,973,4
"SVK",2017,939,3
"SVN",2000,471,4
"SVN",2001,412,4
"SVN",2002,436,0
"SVN",2003,406,0
"SVN",2004,430,2
"SVN",2005,383,3
"SVN",2006,290,5
"SVN",2007,324,3
"SVN",2008,291,3
"SVN",2009,288,1
"SVN",2010,286,0
"SVN",2011,287,0
"SVN",2012,254,2
"SVN",2013,263,1
"SVN",2014,239,1
"SVN",2015,247,1
"SVN",2016,218,1
"SVN",2017,222,1
"NOR",2000,779,2
"NOR",2001,770,3
"NOR",2002,712,3
"NOR",2003,734,7
"NOR",2004,783,0
"NOR",2005,729,2
"NOR",2006,718,5
"NOR",2007,695,4
"NOR",2008,667,3
"NOR",2009,659,1
"NOR",2010,659,3
"NOR",2011,658,3
"NOR",2012,597,0
"NOR",2013,600,2
"NOR",2014,562,2
"NOR",2015,570,0
"NOR",2016,566,0
"NOR",2017,549,0
