"","Country","Year","List","Sex","Frmat","Cause","A00","A1_4","A05","A10","A15","A20","A25","A30","A35","A40","A45","A50","A55","A60","A65","A70","A75","A80","A85ov","tot","unk","name"
"16","1520",2021,104,9,2,"covid19",7,0,1,0,0,1,2,4,4,12,7,21,31,29,49,57,35,36,60,1496,1140,"Tunisia"
"17","2010",2021,104,1,0,"covid19",1,0,0,0,0,0,2,1,2,2,7,3,5,4,10,4,3,7,10,61,0,"Antigua and Barbuda"
"18","2010",2021,104,2,0,"covid19",0,0,0,1,0,0,1,1,1,3,1,2,3,5,4,3,7,1,10,43,0,"Antigua and Barbuda"
"19","2020",2020,104,1,0,"covid19",13,9,4,6,22,57,98,160,286,486,802,1365,2093,3189,4191,4518,4438,3774,4343,30165,311,"Argentina"
"20","2020",2020,104,2,0,"covid19",17,7,10,6,30,33,73,102,150,303,428,643,966,1555,2159,2616,3121,3300,6971,22713,223,"Argentina"
"21","2020",2020,104,9,0,"covid19",0,1,1,0,0,1,0,3,6,3,4,16,10,26,34,47,44,34,69,344,45,"Argentina"
"22","2020",2021,104,1,0,"covid19",16,14,8,22,54,98,234,495,845,1490,2300,3382,4546,5363,6699,6485,6159,4752,5356,48481,163,"Argentina"
"23","2020",2021,104,2,0,"covid19",12,18,14,13,41,114,195,306,506,913,1295,1818,2569,3151,4139,4393,4504,4289,7316,35706,100,"Argentina"
"24","2020",2021,104,9,0,"covid19",0,0,1,0,2,0,1,5,4,12,28,30,32,57,72,56,58,44,80,508,26,"Argentina"
"25","2025",2020,104,1,0,"covid19",0,0,0,0,0,0,0,0,1,0,0,1,2,0,5,4,6,7,4,30,0,"Aruba"
"26","2025",2020,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,4,3,5,4,21,0,"Aruba"
"27","2070",2020,104,1,0,"covid19",153,79,58,68,178,367,659,1350,2334,3553,4883,6825,9615,12899,16039,16996,15655,13934,15976,121641,20,"Brazil"
"28","2070",2020,104,2,0,"covid19",125,89,43,60,169,318,465,826,1465,2163,2943,4171,5989,8496,10438,11596,11728,11961,18005,91051,1,"Brazil"
"29","2070",2020,104,9,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,3,14,3,"Brazil"
"30","2070",2021,104,1,0,"covid19",195,103,59,80,269,859,2303,4694,8521,12067,15595,19712,25401,26215,28571,27939,23662,18594,20924,235786,23,"Brazil"
"31","2070",2021,104,2,0,"covid19",150,109,62,91,274,729,1612,2877,5112,7776,10155,13359,18722,20927,23327,22660,19627,17098,23926,188597,4,"Brazil"
"32","2070",2021,104,9,0,"covid19",0,0,0,0,0,0,1,0,0,0,1,6,4,6,8,4,9,3,3,49,4,"Brazil"
"33","2090",2020,104,1,2,"covid19",0,0,1,0,1,7,4,9,14,26,42,71,156,274,481,752,1075,1423,3553,7889,0,"Canada"
"34","2090",2020,104,2,2,"covid19",0,0,0,0,0,2,5,3,11,13,25,54,93,157,280,468,750,1193,5370,8424,0,"Canada"
"35","2090",2021,104,1,2,"covid19",1,0,2,0,4,7,21,33,73,79,170,256,403,631,779,1047,1090,1198,2303,8097,0,"Canada"
"36","2090",2021,104,2,2,"covid19",1,2,2,3,3,6,9,22,36,55,77,153,212,339,432,636,679,857,2842,6366,0,"Canada"
"37","2090",2022,104,1,2,"covid19",2,8,2,1,1,5,12,25,23,31,53,117,273,434,655,1050,1496,1835,4570,10593,0,"Canada"
"38","2090",2022,104,2,2,"covid19",2,3,3,2,1,5,12,19,7,26,58,108,170,283,443,652,897,1308,5117,9116,0,"Canada"
"39","2120",2020,104,1,0,"covid19",3,4,1,3,7,13,41,62,104,136,256,449,748,1116,1365,1563,1675,1459,1790,10795,0,"Chile"
"40","2120",2020,104,2,0,"covid19",7,4,2,5,2,13,24,50,40,87,119,190,387,602,736,974,1117,1156,2370,7885,0,"Chile"
"41","2120",2021,104,1,0,"covid19",1,3,5,5,14,26,64,149,193,303,453,660,1062,1338,1431,1738,1736,1586,2072,12839,0,"Chile"
"42","2120",2021,104,2,0,"covid19",3,4,2,3,18,24,51,70,89,145,227,389,584,790,964,1192,1397,1428,2660,10040,0,"Chile"
"43","2130",2020,104,1,0,"covid19",50,25,12,16,48,111,192,344,581,875,1209,1765,2606,3550,4181,4502,4197,4006,4414,32684,0,"Colombia"
"44","2130",2020,104,2,0,"covid19",35,21,13,24,26,77,115,139,242,356,476,815,1242,1743,2179,2382,2466,2607,3556,18514,0,"Colombia"
"45","2130",2021,104,1,0,"covid19",51,21,16,25,49,159,414,804,1500,2252,2893,3945,5277,6312,6519,6684,6104,5190,6131,54346,0,"Colombia"
"46","2130",2021,104,2,0,"covid19",33,19,14,28,35,117,214,365,616,1049,1439,2168,3370,4243,4642,4585,4214,3856,5316,36323,0,"Colombia"
"47","2140",2020,104,1,2,"covid19",0,0,1,1,1,4,5,15,18,36,52,72,87,154,176,177,201,194,270,1465,1,"Costa Rica"
"48","2140",2020,104,2,2,"covid19",0,1,0,0,1,3,3,4,12,22,27,35,60,91,89,102,115,101,201,867,0,"Costa Rica"
"49","2150",2020,104,1,0,"covid19",0,0,0,0,0,1,0,0,1,2,2,5,9,6,9,5,15,15,15,85,0,"Cuba"
"50","2150",2020,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,1,2,2,3,8,9,8,10,15,58,0,"Cuba"
"51","2150",2021,104,1,0,"covid19",2,2,3,1,2,5,6,26,42,71,145,292,409,379,484,628,666,608,701,4472,0,"Cuba"
"52","2150",2021,104,2,0,"covid19",2,2,0,3,1,7,8,18,24,35,117,180,300,276,379,488,457,410,577,3284,0,"Cuba"
"53","2180",2020,104,1,0,"covid19",24,18,14,14,21,47,82,156,249,419,652,1026,1526,1971,2239,2108,1892,1523,1717,15702,4,"Ecuador"
"54","2180",2020,104,2,0,"covid19",24,10,11,10,20,24,51,61,123,177,279,416,680,932,1135,1067,1019,884,1168,8091,0,"Ecuador"
"55","2180",2021,104,1,0,"covid19",14,9,2,8,12,26,60,143,255,376,589,889,1180,1580,1676,1680,1516,1159,1506,12681,1,"Ecuador"
"56","2180",2021,104,2,0,"covid19",8,5,1,7,9,18,23,72,108,204,277,440,727,1031,1184,1132,971,804,1171,8193,1,"Ecuador"
"57","2210",2020,104,1,9,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,NA,"French Guiana"
"58","2210",2020,104,2,9,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,NA,"French Guiana"
"59","2230",2021,104,1,0,"covid19",0,0,0,0,0,0,2,1,1,2,6,3,10,14,12,19,13,12,23,118,0,"Grenada"
"60","2230",2021,104,2,0,"covid19",0,0,0,0,1,0,1,0,0,1,1,4,5,6,8,10,8,9,40,94,0,"Grenada"
"61","2240",2020,104,1,9,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,NA,"Guadeloupe"
"62","2240",2020,104,2,9,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,NA,"Guadeloupe"
"63","2250",2020,104,1,0,"covid19",23,15,2,9,17,39,71,110,187,331,378,537,626,771,821,621,482,329,263,5654,22,"Guatemala"
"64","2250",2020,104,2,0,"covid19",15,11,5,8,14,21,36,39,78,113,153,186,267,306,301,276,216,160,139,2350,6,"Guatemala"
"65","2250",2021,104,1,0,"covid19",44,14,6,6,23,60,146,250,402,554,740,752,929,1045,1105,976,789,592,585,9022,4,"Guatemala"
"66","2250",2021,104,2,0,"covid19",36,11,8,14,32,60,91,152,227,312,382,459,553,747,713,604,455,356,388,5606,6,"Guatemala"
"67","2300",2020,104,1,9,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,NA,"Martinique"
"68","2300",2020,104,2,9,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,NA,"Martinique"
"69","2310",2020,104,1,0,"covid19",116,58,38,49,119,428,1093,2075,3668,6009,9647,12692,15848,17511,17412,15302,11973,8254,6438,128790,60,"Mexico"
"70","2310",2020,104,2,0,"covid19",91,53,23,40,129,249,495,870,1361,2473,4180,5870,8260,9974,10179,9343,7614,5459,4786,71454,5,"Mexico"
"71","2310",2020,104,9,0,"covid19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,"Mexico"
"72","2310",2021,104,1,0,"covid19",110,57,29,69,219,638,1809,3169,5593,7253,11098,12775,15753,17500,18086,16503,14012,10180,9594,144518,71,"Mexico"
"73","2310",2021,104,2,0,"covid19",85,50,41,60,206,401,951,1443,2467,3649,5827,7199,10315,12144,12462,11412,9636,7161,7710,93230,11,"Mexico"
"74","2310",2021,104,9,0,"covid19",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,"Mexico"
