"iso_alpha_3_code","year_start","year_end","year_mid","env_total","env_mat","truemat_vr","truemat","truemat_vr_unscaled","truemat_unscaled","tp","tn","fp","fn","up","un","include","include_bmis_global","include_bmis","include_bmat_reason","include_bmis_reason","incomplete_vr_multiplier","check_outside_of_vr","study_period_coverage","citation_short","citation_long","completeness_inq","complete_vr","obs_matdeaths","final_env","final_pm","obs_selogpm","type","definition","mat_vr","nonmat_vr","tot","tot_vr","rho_ref","mat_vr_ref","tot_vr_ref","tot_ref","dmname","iso_country_name","who_code_2","obs_matdeaths_incl_late","obs_matdeaths_late","obs_env","ill_defined_death_proportion","ill_defined_death_proportion2","obs_ill","exclude_reason","icd_utilized","icd","covid19","env_total_who_estimated","include_hasvrdata","rho_period","rho_period_max","rho_period_min","vrenv_vradj","ytot_bmis","rho_bmis","vrenv_bmat","ytot_bmat","rho_bmat","rho_intermediate","usability_percentage","include_reason","name","id","ori_vr_data_from_paho_update","special_case","t","sens","var_sens","sens_sq","oneminsens_sq","lower_sens","upper_sens","spec","var_spec","spec_sq","oneminspec_sq","lower_spec","upper_spec","rho_sesp","cov_sesp","cov.t","env_total_imputed","live_births_imputed","env_pregrelated","mmr","live_births","refID","mdeathspluslate","ramos...yes.1.","comments","env_total_lifetables","live_births_lifetables","final_mmr","final_pm_before_crisis","final_mmr_before_crisis","env_total_calculated_from_lifetables","live_births_calculated_from_birthsdata","CI.low.postmod","CI.up.postmod","multiplier","pm.adj.postmod","mmr.CI.up.postmod","mmr.CI.low.postmod","mmr.adj.postmod"
"ALB",1996,1997,1996.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,621,0.0128824476650564,NA,"vr","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",4005,8,NA,621,0.0450885668276973,0.692431561996779,28,NA,FALSE,"09B",0,693,TRUE,0.869429463525405,0.880499574226511,0.858075503831961,621,714,0.869747899159664,621,693,0.896103896103896,0.869429463525405,0.830532212885154,NA,NA,NA,NA,FALSE,12,0.714319,0.094751,0.510251,0.081614,0.222311,0.970946,0.999751,0,0.999502,0,0.995877,0.999993,0.040975,5e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000124209199747952,0.0128824476650564,0.000124209199747952,693,71875,0.00161030595813205,0.0450885668276973,1.37718863664512,0.0177415605364911,0.000434732199117832,1.5526149968494e-05,0.000171059498459664
"ALB",1997,1998,1997.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,673,0.00742942050520059,NA,"vr","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",4005,5,NA,673,0.0356612184249629,0.557206537890045,24,NA,FALSE,"09B",0,781,TRUE,0.885658372938216,0.896002236511043,0.875034945485043,673,759,0.8866930171278,673,781,0.861715749039693,0.885658372938216,0.855072463768116,NA,NA,NA,NA,FALSE,13,0.714319,0.094751,0.510251,0.081614,0.222311,0.970946,0.999751,0,0.999502,0,0.995877,0.999993,0.040975,5e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6531614563592e-05,0.00742942050520059,8.6531614563592e-05,781,67055,0,0.0312035661218425,1.37348402875037,0.0102041904067635,0.000363432781167087,0,0.000118849790585076
"ALB",1998,1999,1998.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,646,0.0123839009287926,NA,"vr","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",4005,8,NA,646,0.0541795665634675,0.592879256965944,35,NA,FALSE,"09B",0,719,TRUE,0.869745575221239,0.880530973451327,0.858683628318584,646,742,0.870619946091644,646,719,0.898470097357441,0.869745575221239,0.823450134770889,NA,NA,NA,NA,FALSE,14,0.714319,0.094751,0.510251,0.081614,0.222311,0.970946,0.999751,0,0.999502,0,0.995877,0.999993,0.040975,5e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000141454973593268,0.0123839009287926,0.000141454973593268,719,62946,0.00154798761609907,0.043343653250774,1.36966646960061,0.0169618138650231,0.000495092407576439,1.76818716991585e-05,0.000193746134288939
"ALB",1999,2000,1999.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,622,0.00321543408360129,NA,"vr","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",4005,2,NA,622,0.0289389067524116,0.644694533762058,18,NA,FALSE,"09B",0,714,TRUE,0.869241379310345,0.88,0.858206896551724,622,715,0.86993006993007,622,714,0.871148459383754,0.869241379310345,0.844755244755245,NA,NA,NA,NA,FALSE,15,0.714319,0.094751,0.510251,0.081614,0.222311,0.970946,0.999751,0,0.999502,0,0.995877,0.999993,0.040975,5e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89471887575504e-05,0.00321543408360129,3.89471887575504e-05,714,58947,0,0.022508038585209,1.3655673273423,0.00439089172778874,0.000272630321302852,0,5.3185008459144e-05
"ALB",2000,2001,2000.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,583,0.0137221269296741,NA,"vr","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",4005,8,NA,583,0.039451114922813,0.699828473413379,23,NA,FALSE,"09B",0,709,TRUE,0.873132224414999,0.883845503242176,0.862137017197632,583,667,0.874062968515742,583,709,0.82228490832158,0.873132224414999,0.839580209895052,NA,NA,NA,NA,FALSE,16,0.714319,0.094751,0.510251,0.081614,0.222311,0.970946,0.999751,0,0.999502,0,0.995877,0.999993,0.040975,5e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000175458312920683,0.0137221269296741,0.000175458312920683,709,55449,0.00171526586620926,0.0480274442538593,1.36106701352117,0.01867673431933,0.000614104095222389,2.19322891150853e-05,0.000238810521964417
"ALB",2001,2002,2001.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,627,0.00318979266347687,NA,"vr","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",4005,2,NA,627,0.0382775119617225,0.703349282296651,24,NA,FALSE,"09B",0,702,TRUE,0.871954674220963,0.88300283286119,0.860906515580736,627,719,0.872044506258693,627,702,0.893162393162393,0.871954674220963,0.838664812239221,NA,NA,NA,NA,FALSE,17,0.714319,0.094751,0.510251,0.081614,0.222311,0.970946,0.999751,0,0.999502,0,0.995877,0.999993,0.040975,5e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28619039825577e-05,0.00318979266347687,4.28619039825577e-05,702,52243,0,0.0223285486443381,1.35637808722165,0.00432656487152042,0.000300033327877904,0,5.81369473385398e-05
"ALB",2002,2003,2002.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,619,0.00646203554119548,NA,"vr","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",4005,4,NA,619,0.0468497576736672,0.673667205169628,29,NA,FALSE,"09B",0,703,TRUE,0.867160775370582,0.878278221208666,0.8557582668187,619,713,0.868162692847125,619,703,0.880512091038407,0.867160775370582,0.827489481065919,NA,NA,NA,NA,FALSE,18,0.714319,0.094751,0.510251,0.081614,0.222311,0.970946,0.999751,0,0.999502,0,0.995877,0.999993,0.040975,5e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.30065306989686e-05,0.00646203554119548,9.30065306989686e-05,703,48844,0,0.0306946688206785,1.35122366595045,0.00873165535347623,0.000441781020820101,0,0.000125672625368393
"ALB",2003,2004,2003.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,627,0.00159489633173844,NA,"vr","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",4005,1,NA,627,0.0717703349282297,0.671451355661882,45,NA,FALSE,"09B",0,702,TRUE,0.879827089337176,0.890489913544669,0.868876080691643,627,712,0.88061797752809,627,702,0.893162393162393,0.879827089337176,0.817415730337079,NA,NA,NA,NA,FALSE,19,0.714319,0.094751,0.510251,0.081614,0.222311,0.970946,0.999751,0,0.999502,0,0.995877,0.999993,0.040975,5e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29933917581662e-05,0.00159489633173844,2.29933917581662e-05,702,48693,0,0.0175438596491228,1.34982544700845,0.00215283165392098,0.000252927309339827,0,3.10370653082071e-05
"ALB",2004,2005,2004.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,586,0.00170648464163823,NA,"vr","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",4005,1,NA,586,0.0580204778156997,0.665529010238908,34,NA,FALSE,"09B",0,692,TRUE,0.879472140762463,0.890322580645161,0.868328445747801,586,666,0.87987987987988,586,692,0.846820809248555,0.879472140762463,0.828828828828829,NA,NA,NA,NA,FALSE,20,0.714319,0.094751,0.510251,0.081614,0.222311,0.970946,0.999751,0,0.999502,0,0.995877,0.999993,0.040975,5e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59256486863302e-05,0.00170648464163823,2.59256486863302e-05,692,45549,0,0.0187713310580205,1.34504002968782,0.0022952901530509,0.000285182135549632,0,3.48710352787376e-05
"ALB",2005,2006,2005.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,594,0.0101010101010101,NA,"vr","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",4005,6,NA,594,0.0622895622895623,0.643097643097643,37,NA,FALSE,"09B",0,671,TRUE,0.865175332527207,0.876662636033857,0.853385731559855,594,686,0.865889212827988,594,671,0.885245901639344,0.865175332527207,0.811953352769679,NA,NA,NA,NA,FALSE,21,0.714319,0.094751,0.510251,0.081614,0.222311,0.970946,0.999751,0,0.999502,0,0.995877,0.999993,0.040975,5e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000158946057356076,0.0101010101010101,0.000158946057356076,671,42642,0,0.0387205387205387,1.34010444413669,0.0135364085266333,0.000609293219864957,0,0.000213004317840883
