"iso_alpha_3_code","year_mid","year_start","year_end","final_pm","obs_selogpm","citation_short","include","type","definition"
"ETH",1996.746,1993.246,2000.246,0.238759084283999,0.085695721,"DHS 2000",TRUE,"dhs","pregn"
"ETH",2001.982,1998.482,2005.482,0.196810322701493,0.092108372,"DHS 2005",TRUE,"dhs","pregn"
"ETH",2007.705,2004.205,2011.205,0.281638952397783,0.090809507,"DHS 2011",TRUE,"dhs","pregn"
"ETH",2012.986,2009.486,2016.486,0.240938343098744,0.14329198,"DHS 2016",TRUE,"dhs","pregn"
"GAB",1997.287,1993.787,2000.787,0.171665044939055,0.183162526,"DHS 2000",TRUE,"dhs","pregn"
"GAB",2008.698,2005.198,2012.198,0.102561110917649,0.206414064,"DHS 2012",TRUE,"dhs","pregn"
"GMB",2009.705,2006.205,2013.205,0.334642235690493,0.13277813,"DHS 2013",TRUE,"dhs","pregn"
"GHA",2004.162,2000.662,2007.662,0.153814566,NA,"MHS 2007",TRUE,"dhs","pregn"
"GHA",2014.28,2010.78,2017.78,0.108506862,NA,"MHS 2017",TRUE,"dhs","pregn"
"GTM",2012.022,2008.522,2015.522,0.115310328,NA,"DHS 2014-2015",TRUE,"dhs","pregn"
"GUM",1991.916667,1988.416667,1995.416667,0.159115041969383,0.185315896,"DHS 1995",TRUE,"dhs","pregn"
"GIN",1995.944,1992.444,1999.444,0.271315648310673,0.126822695,"DHS 1999",TRUE,"dhs","pregn"
"GIN",2001.507,1998.007,2005.007,0.343873093819951,0.081409298,"DHS 2005",TRUE,"dhs","pregn"
"GIN",2009.102,2005.602,2012.602,0.251721949915077,0.113455154,"DHS 2012",TRUE,"dhs","pregn"
"GIN",2013.374,2009.874,2016.874,0.276444197,NA,"MICS 2016",TRUE,"dhs","pregn"
"GNB",2011.038,2007.538,2014.538,0.306314516254842,0.108740776,"MICS 2014",TRUE,"dhs","pregn"
"HTI",1996.83,1993.33,2000.33,0.122968383177667,0.174170992,"DHS 2000",TRUE,"dhs","pregn"
"HTI",2002.621,1999.121,2006.121,0.156523499302261,0.12395025,"DHS 2005-2006",TRUE,"dhs","pregn"
"HTI",2013.786,2010.286,2017.286,0.171419871696174,0.116754379,"DHS 2016-2017",TRUE,"dhs","pregn"
"IDN",1991.205,1987.705,1994.705,0.185867235273787,0.131887489,"DHS 1994",TRUE,"dhs","pregn"
"IDN",1999.566,1996.066,2003.066,0.134719405145157,0.147149525,"DHS 2002-2003",TRUE,"dhs","pregn"
"IDN",2004.24,2000.74,2007.74,0.0782459595539665,0.160605394,"DHS 2007",TRUE,"dhs","pregn"
"IDN",2008.963,2005.463,2012.463,0.106367608800608,0.146694536,"DHS 2012",TRUE,"dhs","pregn"
"IDN",1994.166667,1990.666667,1997.666667,0.170014436323372,0.249264446,"DHS 1997",TRUE,"dhs","pregn"
"IRQ",2004.386,2001.886,2006.886,0.055906066,NA,"FHS 2006-2007",TRUE,"dhs","pregn"
"IRQ",2014.669355,2011.169355,2018.169355,0.112018076208828,0.227806205,"MICS 2018",TRUE,"dhs","pregn"
"JOR",1993.916667,1990.416667,1997.416667,0.0800700734169776,0.423095562,"DHS 1997",TRUE,"dhs","pregn"
"KEN",1994.85,1991.35,1998.35,0.255376163199066,0.088733982,"DHS 1998",TRUE,"dhs","pregn"
"KEN",2000,1996.5,2003.5,0.127849792788156,0.103818596,"DHS 2003",TRUE,"dhs","pregn"
"KEN",2005.503,2002.003,2009.003,0.142719519628458,0.160852562,"DHS 2008-2009",TRUE,"dhs","pregn"
"KEN",2011.302,2007.802,2014.802,0.134951802205862,0.140152417,"DHS 2014",TRUE,"dhs","pregn"
"LAO",2008.449,2004.949,2011.949,0.169676026944794,0.121079976,"MICS 2011-12",TRUE,"dhs","pregn"
"LSO",2001.394,1997.894,2004.894,0.0902287208172419,0.135263248,"DHS 2004",TRUE,"dhs","pregn"
"LSO",2006.43,2002.93,2009.93,0.100045327770526,0.118129877,"DHS 2009",TRUE,"dhs","pregn"
"LSO",2011.434,2007.934,2014.934,0.0845801687330142,0.141496617,"DHS 2014",TRUE,"dhs","pregn"
"LBR",2003.635,2000.135,2007.135,0.348311639552256,0.111726873,"DHS 2007",TRUE,"dhs","pregn"
"LBR",2009.867,2006.367,2013.367,0.356855878644362,0.102842709,"DHS 2013",TRUE,"dhs","pregn"
"MDG",1985.621,1978.621,1992.621,0.24634666,NA,"DHS 1992",TRUE,"dhs","pregn"
"MDG",1994.331,1990.831,1997.831,0.228246664040833,0.110367613,"DHS 1997",TRUE,"dhs","pregn"
"MDG",2000.566,1997.066,2004.066,0.253875150571656,0.155146568,"DHS 2003-2004",TRUE,"dhs","pregn"
"MDG",2005.761,2002.261,2009.261,0.198414314708009,0.081337308,"DHS 2008-2009",TRUE,"dhs","pregn"
"MDG",2015.129032,2011.629032,2018.629032,0.219410446135624,0.091235925,"MICS 2018",TRUE,"dhs","pregn"
"MWI",1989.264,1985.764,1992.764,0.200362783120837,0.148502167,"DHS 1992",TRUE,"dhs","pregn"
"MWI",1997.201,1993.701,2000.701,0.20902822025516,0.066897282,"DHS 2000",TRUE,"dhs","pregn"
"MWI",2001.42,1997.92,2004.92,0.172348259968556,0.077580306,"DHS 2004",TRUE,"dhs","pregn"
"MWI",2007.165,2003.665,2010.665,0.152102025944243,0.071713504,"DHS 2010",TRUE,"dhs","pregn"
"MWI",2010.58,2007.08,2014.08,NA,NA,"MES 2014",TRUE,"dhs","pregn"
"MWI",2012.629,2009.129,2016.129,0.171096448017278,0.087751044,"DHS 2015-2016",TRUE,"dhs","pregn"
"MLI",1992.621,1989.121,1996.121,0.317715836697192,0.080551626,"DHS 1995-1996",TRUE,"dhs","pregn"
"MLI",1997.703,1994.203,2001.203,0.271224367039032,0.08416496,"DHS 2001",TRUE,"dhs","pregn"
"MLI",2003.162,1999.662,2006.662,0.250930714704841,0.084808461,"DHS 2006",TRUE,"dhs","pregn"
"MLI",2009.482,2005.982,2012.982,0.300124460211455,0.124276257,"DHS 2012-2013",TRUE,"dhs","pregn"
"MLI",2015.083333,2011.583333,2018.583333,0.223566866436196,0.10099826,"DHS 2018",TRUE,"dhs","pregn"
"MRT",1997.124,1993.624,2000.624,0.373250966,NA,"DHS 2000-2001",TRUE,"dhs","pregn"
"MRT",2007.924731,2004.424731,2011.424731,0.488986865401277,0.075710863,"MICS 2011",TRUE,"dhs","pregn"
"MAR",1988.5,1985,1992,0.301334896133406,0.153266824,"DHS 1992",TRUE,"dhs","pregn"
"MAR",1998.975,1993.975,2003.975,0.176373637,NA,"DHS 2003-2004",TRUE,"dhs","pregn"
"MOZ",2000.788,1997.288,2004.288,0.142828937365822,0.111059966,"DHS 2003",TRUE,"dhs","pregn"
"MOZ",2008.163,2004.663,2011.663,0.138431380333166,0.121018076,"DHS 2011",TRUE,"dhs","pregn"
"MOZ",1993.666667,1990.166667,1997.166667,0.146265363620925,0.296119587,"DHS 1997",TRUE,"dhs","pregn"
