"iso_alpha_3_code","m49","who_code","region_for_model","region_for_model_ssh","name_short_en","name_short_es","name_short_fr","who_legal_status","grp_who_region","sdg1","sdg2","sdg3","who_memberstate"
"GNQ",226,"1130","Middle Africa","Sub-Saharan Africa","Equatorial Guinea","Guinea Ecuatorial","Guinée équatoriale","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Middle Africa (M49)","yes"
"ERI",232,"1135","Eastern Africa","Sub-Saharan Africa","Eritrea","Eritrea","Érythrée","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"EST",233,"4055","Developed regions","Other","Estonia","Estonia","Estonie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Northern Europe (M49)","yes"
"ETH",231,"1140","Eastern Africa","Sub-Saharan Africa","Ethiopia","Etiopía","Éthiopie","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"FJI",242,"5070","South-Eastern Asia / Oceania","Oceania","Fiji","Fiji","Fidji","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Melanesia (M49)","yes"
"FIN",246,"4070","Developed regions","Other","Finland","Finlandia","Finlande","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Northern Europe (M49)","yes"
"FRA",250,"4080","Developed regions","Other","France","Francia","France","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","yes"
"GAB",266,"1160","Middle Africa","Sub-Saharan Africa","Gabon","Gabón","Gabon","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Middle Africa (M49)","yes"
"GMB",270,"1170","Western Africa","Sub-Saharan Africa","Gambia","Gambia","Gambie","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"GEO",268,"4084","Western Asia","Caucasus and Central Asia","Georgia","Georgia","Géorgie","M","EUR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"DEU",276,"4085","Developed regions","Other","Germany","Alemania","Allemagne","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","yes"
"GHA",288,"1180","Western Africa","Sub-Saharan Africa","Ghana","Ghana","Ghana","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"GRC",300,"4140","Developed regions","Other","Greece","Grecia","Grèce","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"GRD",308,"2230","Caribbean","Caribbean","Grenada","Granada","Grenade","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","yes"
"GTM",320,"2250","Central America","Latin America","Guatemala","Guatemala","Guatemala","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Central America (M49)","yes"
"GIN",324,"1190","Western Africa","Sub-Saharan Africa","Guinea","Guinea","Guinée","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"GNB",624,"1192","Western Africa","Sub-Saharan Africa","Guinea-Bissau","Guinea-Bissau","Guinée-Bissau","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"GUY",328,"2260","South America","Latin America","Guyana","Guyana","Guyana","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"HTI",332,"2270","Caribbean","Caribbean","Haiti","Haití","Haïti","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","yes"
"HND",340,"2280","Central America","Latin America","Honduras","Honduras","Honduras","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Central America (M49)","yes"
"HUN",348,"4150","Developed regions","Other","Hungary","Hungría","Hongrie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Eastern Europe (M49)","yes"
"ISL",352,"4160","Developed regions","Other","Iceland","Islandia","Islande","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Northern Europe (M49)","yes"
"IND",356,"3100","Southern Asia","Southern Asia","India","India","Inde","M","SEAR","Central Asia (M49) and Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","yes"
"IDN",360,"3110","South-Eastern Asia / Oceania","South-eastern Asia","Indonesia","Indonesia","Indonésie","M","SEAR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"IRN",364,"3130","Southern Asia","Southern Asia","Iran (Islamic Republic of)","Irán (República Islámica del)","Iran (République islamique d')","M","EMR","Central Asia (M49) and Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","yes"
"IRQ",368,"3140","Western Asia","Western Asia","Iraq","Iraq","Iraq","M","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"IRL",372,"4170","Developed regions","Other","Ireland","Irlanda","Irlande","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Northern Europe (M49)","yes"
"ISR",376,"3150","Western Asia","Other","Israel","Israel","Israël","M","EUR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"ITA",380,"4180","Developed regions","Other","Italy","Italia","Italie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"JAM",388,"2290","Caribbean","Caribbean","Jamaica","Jamaica","Jamaïque","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","yes"
"JPN",392,"3160","Developed regions","Other","Japan","Japón","Japon","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","Eastern Asia (M49)","Eastern Asia (M49)","yes"
"JOR",400,"3170","Western Asia","Western Asia","Jordan","Jordania","Jordanie","M","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"KAZ",398,"4182","Central Asia","Caucasus and Central Asia","Kazakhstan","Kazajstán","Kazakhstan","M","EUR","Central Asia (M49) and Southern Asia (MDG=M49)","Central Asia (M49)","Central Asia (M49)","yes"
"KEN",404,"1220","Eastern Africa","Sub-Saharan Africa","Kenya","Kenya","Kenya","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"KIR",296,"5105","South-Eastern Asia / Oceania","Oceania","Kiribati","Kiribati","Kiribati","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Micronesia (M49)","yes"
"KWT",414,"3190","Western Asia","Western Asia","Kuwait","Kuwait","Koweït","M","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"KGZ",417,"4184","Central Asia","Caucasus and Central Asia","Kyrgyzstan","Kirguistán","Kirghizistan","M","EUR","Central Asia (M49) and Southern Asia (MDG=M49)","Central Asia (M49)","Central Asia (M49)","yes"
"LAO",418,"3200","South-Eastern Asia / Oceania","South-eastern Asia","Lao People's Democratic Republic","República Democrática Popular Lao","République démocratique populaire lao","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"LVA",428,"4186","Developed regions","Other","Latvia","Letonia","Lettonie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Northern Europe (M49)","yes"
"LBN",422,"3210","Western Asia","Western Asia","Lebanon","Líbano","Liban","M","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"LSO",426,"1230","Southern Africa","Sub-Saharan Africa","Lesotho","Lesotho","Lesotho","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Southern Africa (M49)","yes"
"LBR",430,"1240","Western Africa","Sub-Saharan Africa","Liberia","Liberia","Libéria","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"LBY",434,"1250","Northern Africa","Northern Africa","Libya","Libia","Libye","M","EMR","Western Asia (M49) and Northern Africa (M49)","Northern Africa (M49)","Northern Africa (M49)","yes"
"LTU",440,"4188","Developed regions","Other","Lithuania","Lituania","Lituanie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Northern Europe (M49)","yes"
"LUX",442,"4190","Developed regions","Other","Luxembourg","Luxemburgo","Luxembourg","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","yes"
"MDG",450,"1260","Eastern Africa","Sub-Saharan Africa","Madagascar","Madagascar","Madagascar","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"MWI",454,"1270","Eastern Africa","Sub-Saharan Africa","Malawi","Malawi","Malawi","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"MYS",458,"3236","South-Eastern Asia / Oceania","South-eastern Asia","Malaysia","Malasia","Malaisie","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"MDV",462,"3255","Southern Asia","Southern Asia","Maldives","Maldivas","Maldives","M","SEAR","Central Asia (M49) and Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","yes"
"MLI",466,"1280","Western Africa","Sub-Saharan Africa","Mali","Malí","Mali","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"MLT",470,"4200","Developed regions","Other","Malta","Malta","Malte","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"MHL",584,"5107","South-Eastern Asia / Oceania","Oceania","Marshall Islands","Islas Marshall","Îles Marshall","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Micronesia (M49)","yes"
"MRT",478,"1290","Western Africa","Sub-Saharan Africa","Mauritania","Mauritania","Mauritanie","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"MUS",480,"1300","Eastern Africa","Sub-Saharan Africa","Mauritius","Mauricio","Maurice","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"MEX",484,"2310","Central America","Latin America","Mexico","México","Mexique","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Central America (M49)","yes"
"FSM",583,"5108","South-Eastern Asia / Oceania","Oceania","Micronesia (Federated States of)","Micronesia (Estados Federados de)","Micronésie (États fédérés de)","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Micronesia (M49)","yes"
"MCO",492,"4205","Developed regions","Other","Monaco","Mónaco","Monaco","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","yes"
"MNG",496,"3260","Eastern Asia","Eastern Asia","Mongolia","Mongolia","Mongolie","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","Eastern Asia (M49)","Eastern Asia (M49)","yes"
"MNE",499,"4207","Transition countries of South-Eastern Europe","Other","Montenegro","Montenegro","Monténégro","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"MAR",504,"1310","Northern Africa","Northern Africa","Morocco","Marruecos","Maroc","M","EMR","Western Asia (M49) and Northern Africa (M49)","Northern Africa (M49)","Northern Africa (M49)","yes"
"MOZ",508,"1320","Eastern Africa","Sub-Saharan Africa","Mozambique","Mozambique","Mozambique","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"MMR",104,"3270","South-Eastern Asia / Oceania","South-eastern Asia","Myanmar","Myanmar","Myanmar","M","SEAR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"NAM",516,"1325","Southern Africa","Sub-Saharan Africa","Namibia","Namibia","Namibie","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Southern Africa (M49)","yes"
"NRU",520,"5110","South-Eastern Asia / Oceania","Oceania","Nauru","Nauru","Nauru","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Micronesia (M49)","yes"
"NPL",524,"3280","Southern Asia","Southern Asia","Nepal","Nepal","Népal","M","SEAR","Central Asia (M49) and Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","yes"
"NLD",528,"4210","Developed regions","Other","Netherlands (Kingdom of  the)","Países Bajos (Reino de los)","Pays-Bas (Royaume des)","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","yes"
"NZL",554,"5150","Developed regions","Other","New Zealand","Nueva Zelandia","Nouvelle-Zélande","M","WPR","Australia and New Zealand (M49)","Oceania (M49)","Australia and New Zealand (M49)","yes"
"NIC",558,"2340","Central America","Latin America","Nicaragua","Nicaragua","Nicaragua","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Central America (M49)","yes"
"NER",562,"1330","Western Africa","Sub-Saharan Africa","Niger","Níger","Niger","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"NGA",566,"1340","Western Africa","Sub-Saharan Africa","Nigeria","Nigeria","Nigéria","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"NOR",578,"4220","Developed regions","Other","Norway","Noruega","Norvège","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Northern Europe (M49)","yes"
"PSE",275,"9018","Western Asia","Western Asia","occupied Palestinian territory, including east Jerusalem","Territorio Palestino Ocupado, incluida Jerusalén Oriental","Territoire palestinien occupé, y compris Jérusalem-Est","T","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","no"
"OMN",512,"3285","Western Asia","Western Asia","Oman","Omán","Oman","M","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"PAK",586,"3290","Southern Asia","Southern Asia","Pakistan","Pakistán","Pakistan","M","EMR","Central Asia (M49) and Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","yes"
"PLW",585,"5180","South-Eastern Asia / Oceania","Oceania","Palau","Palau","Palaos","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Micronesia (M49)","yes"
"PAN",591,"2350","Central America","Latin America","Panama","Panamá","Panama","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Central America (M49)","yes"
"PNG",598,"5195","South-Eastern Asia / Oceania","Oceania","Papua New Guinea","Papua Nueva Guinea","Papouasie-Nouvelle-Guinée","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Melanesia (M49)","yes"
"PRY",600,"2360","South America","Latin America","Paraguay","Paraguay","Paraguay","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"PER",604,"2370","South America","Latin America","Peru","Perú","Pérou","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"PHL",608,"3300","South-Eastern Asia / Oceania","South-eastern Asia","Philippines","Filipinas","Philippines","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"POL",616,"4230","Developed regions","Other","Poland","Polonia","Pologne","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Eastern Europe (M49)","yes"
"PRT",620,"4240","Developed regions","Other","Portugal","Portugal","Portugal","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"PRI",630,"2380","Caribbean","Caribbean","Puerto Rico","Puerto Rico","Porto Rico","A","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","no"
"QAT",634,"3320","Western Asia","Western Asia","Qatar","Qatar","Qatar","M","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
