"iso_alpha_3_code","m49","who_code","region_for_model","region_for_model_ssh","name_short_en","name_short_es","name_short_fr","who_legal_status","grp_who_region","sdg1","sdg2","sdg3","who_memberstate"
"AFG",4,"3010","Southern Asia","Southern Asia","Afghanistan","Afganistán","Afghanistan","M","EMR","Central Asia (M49) and Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","yes"
"ALB",8,"4005","Transition countries of South-Eastern Europe","Other","Albania","Albania","Albanie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"DZA",12,"1010","Northern Africa","Northern Africa","Algeria","Argelia","Algérie","M","AFR","Western Asia (M49) and Northern Africa (M49)","Northern Africa (M49)","Northern Africa (M49)","yes"
"AND",20,"4008","Developed regions","Other","Andorra","Andorra","Andorre","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"AGO",24,"1020","Middle Africa","Sub-Saharan Africa","Angola","Angola","Angola","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Middle Africa (M49)","yes"
"ATG",28,"2010","Caribbean","Caribbean","Antigua and Barbuda","Antigua y Barbuda","Antigua-et-Barbuda","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","yes"
"ARG",32,"2020","South America","Latin America","Argentina","Argentina","Argentine","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"ARM",51,"4007","Western Asia","Caucasus and Central Asia","Armenia","Armenia","Arménie","M","EUR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"AUS",36,"5020","Developed regions","Other","Australia","Australia","Australie","M","WPR","Australia and New Zealand (M49)","Oceania (M49)","Australia and New Zealand (M49)","yes"
"AUT",40,"4010","Developed regions","Other","Austria","Austria","Autriche","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","yes"
"AZE",31,"4012","Western Asia","Caucasus and Central Asia","Azerbaijan","Azerbaiyán","Azerbaïdjan","M","EUR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"BHS",44,"2030","Caribbean","Caribbean","Bahamas","Bahamas","Bahamas","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","yes"
"BHR",48,"3020","Western Asia","Western Asia","Bahrain","Bahrein","Bahreïn","M","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"BGD",50,"3025","Southern Asia","Southern Asia","Bangladesh","Bangladesh","Bangladesh","M","SEAR","Central Asia (M49) and Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","yes"
"BRB",52,"2040","Caribbean","Caribbean","Barbados","Barbados","Barbade","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","yes"
"BLR",112,"4018","Developed regions","Other","Belarus","Belarús","Bélarus","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Eastern Europe (M49)","yes"
"BEL",56,"4020","Developed regions","Other","Belgium","Bélgica","Belgique","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","yes"
"BLZ",84,"2045","Central America","Latin America","Belize","Belice","Belize","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Central America (M49)","yes"
"BEN",204,"1025","Western Africa","Sub-Saharan Africa","Benin","Benin","Bénin","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"BTN",64,"3027","Southern Asia","Southern Asia","Bhutan","Bhután","Bhoutan","M","SEAR","Central Asia (M49) and Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","yes"
"BOL",68,"2060","South America","Latin America","Bolivia (Plurinational State of)","Bolivia (Estado Plurinacional de)","Bolivie (État plurinational de)","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"BIH",70,"4025","Transition countries of South-Eastern Europe","Other","Bosnia and Herzegovina","Bosnia y Herzegovina","Bosnie-Herzégovine","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"BWA",72,"1030","Southern Africa","Sub-Saharan Africa","Botswana","Botswana","Botswana","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Southern Africa (M49)","yes"
"BRA",76,"2070","South America","Latin America","Brazil","Brasil","Brésil","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"BRN",96,"3030","South-Eastern Asia / Oceania","South-eastern Asia","Brunei Darussalam","Brunei Darussalam","Brunéi Darussalam","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"BGR",100,"4030","Developed regions","Other","Bulgaria","Bulgaria","Bulgarie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Eastern Europe (M49)","yes"
"BFA",854,"1035","Western Africa","Sub-Saharan Africa","Burkina Faso","Burkina Faso","Burkina Faso","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"BDI",108,"1040","Eastern Africa","Sub-Saharan Africa","Burundi","Burundi","Burundi","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"CPV",132,"1060","Western Africa","Sub-Saharan Africa","Cabo Verde","Cabo Verde","Cabo Verde","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"KHM",116,"3050","South-Eastern Asia / Oceania","South-eastern Asia","Cambodia","Camboya","Cambodge","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"CMR",120,"1045","Middle Africa","Sub-Saharan Africa","Cameroon","Camerún","Cameroun","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Middle Africa (M49)","yes"
"CAN",124,"2090","Developed regions","Other","Canada","Canadá","Canada","M","AMR","Northern America (M49) and Europe (M49)","Northern America (M49)","Northern America (M49)","yes"
"CAF",140,"1070","Middle Africa","Sub-Saharan Africa","Central African Republic","República Centroafricana","République centrafricaine","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Middle Africa (M49)","yes"
"TCD",148,"1080","Middle Africa","Sub-Saharan Africa","Chad","Chad (el)","Tchad","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Middle Africa (M49)","yes"
"CHL",152,"2120","South America","Latin America","Chile","Chile","Chili","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"CHN",156,"3068","Eastern Asia","Eastern Asia","China","China","Chine","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","Eastern Asia (M49)","Eastern Asia (M49)","yes"
"COL",170,"2130","South America","Latin America","Colombia","Colombia","Colombie","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"COM",174,"1090","Eastern Africa","Sub-Saharan Africa","Comoros","Comoras","Comores","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"COG",178,"1100","Middle Africa","Sub-Saharan Africa","Congo","Congo (el)","Congo","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Middle Africa (M49)","yes"
"COK",184,"5060","South-Eastern Asia / Oceania","Oceania","Cook Islands","Islas Cook","Îles Cook","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Polynesia (M49)","yes"
"CRI",188,"2140","Central America","Latin America","Costa Rica","Costa Rica","Costa Rica","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Central America (M49)","yes"
"CIV",384,"1115","Western Africa","Sub-Saharan Africa","Côte d'Ivoire","Côte d'Ivoire","Côte d'Ivoire","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"HRV",191,"4038","Transition countries of South-Eastern Europe","Other","Croatia","Croacia","Croatie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"CUB",192,"2150","Caribbean","Caribbean","Cuba","Cuba","Cuba","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","yes"
"CYP",196,"3080","Western Asia","Other","Cyprus","Chipre","Chypre","M","EUR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"CZE",203,"4045","Developed regions","Other","Czechia","Chequia","Tchéquie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Eastern Europe (M49)","yes"
"PRK",408,"3083","Eastern Asia","Eastern Asia","Democratic People's Republic of Korea","República Popular Democrática de Corea","République populaire démocratique de Corée","M","SEAR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","Eastern Asia (M49)","Eastern Asia (M49)","yes"
"COD",180,"1555","Middle Africa","Sub-Saharan Africa","Democratic Republic of the Congo","República Democrática del Congo","République démocratique du Congo","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Middle Africa (M49)","yes"
"DNK",208,"4050","Developed regions","Other","Denmark","Dinamarca","Danemark","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Northern Europe (M49)","yes"
"DJI",262,"1120","Eastern Africa","Sub-Saharan Africa","Djibouti","Djibouti","Djibouti","M","EMR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"DMA",212,"2160","Caribbean","Caribbean","Dominica","Dominica","Dominique","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","yes"
"DOM",214,"2170","Caribbean","Caribbean","Dominican Republic","República Dominicana","République dominicaine","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","yes"
"ECU",218,"2180","South America","Latin America","Ecuador","Ecuador","Équateur","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"EGY",818,"1125","Northern Africa","Northern Africa","Egypt","Egipto","Égypte","M","EMR","Western Asia (M49) and Northern Africa (M49)","Northern Africa (M49)","Northern Africa (M49)","yes"
"SLV",222,"2190","Central America","Latin America","El Salvador","El Salvador","El Salvador","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Central America (M49)","yes"
