"iso_alpha_3_code","year_start","year_end","year_mid","env_total","env_mat","truemat_vr","truemat","truemat_vr_unscaled","truemat_unscaled","tp","tn","fp","fn","up","un","include","include_bmis_global","include_bmis","include_bmat_reason","include_bmis_reason","incomplete_vr_multiplier","check_outside_of_vr","study_period_coverage","citation_short","citation_long","completeness_inq","complete_vr","obs_matdeaths","final_env","final_pm","obs_selogpm","type","definition","mat_vr","nonmat_vr","tot","tot_vr","rho_ref","mat_vr_ref","tot_vr_ref","tot_ref","dmname","iso_country_name","who_code_2","obs_matdeaths_incl_late","obs_matdeaths_late","obs_env","ill_defined_death_proportion","ill_defined_death_proportion2","obs_ill","exclude_reason","icd_utilized","icd","covid19","env_total_who_estimated","include_hasvrdata","rho_period","rho_period_max","rho_period_min","vrenv_vradj","ytot_bmis","rho_bmis","vrenv_bmat","ytot_bmat","rho_bmat","rho_intermediate","usability_percentage","include_reason","name","id","ori_vr_data_from_paho_update","special_case","t","sens","var_sens","sens_sq","oneminsens_sq","lower_sens","upper_sens","spec","var_spec","spec_sq","oneminspec_sq","lower_spec","upper_spec","rho_sesp","cov_sesp","cov.t","env_total_imputed","live_births_imputed","env_pregrelated","mmr","live_births","refID","mdeathspluslate","ramos...yes.1.","comments","env_total_lifetables","live_births_lifetables","final_mmr","final_pm_before_crisis","final_mmr_before_crisis","env_total_calculated_from_lifetables","live_births_calculated_from_birthsdata"
"BGD",2017,2018,2017.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"RBSVS,2020","Report on Bangladesh Sample Vital Statistics 2020, Bangladesh Bureau of Statistics (BBS)",NA,NA,NA,NA,0.0810199662947466,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,68832,3242306,0.00172,0.0810199662947466,0.00172,68832,3242306
"BGD",2018,2019,2018.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"RBSVS,2020","Report on Bangladesh Sample Vital Statistics 2020, Bangladesh Bureau of Statistics (BBS)",NA,NA,NA,NA,0.0828702011206575,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA,66925,3281709,0.00169,0.0828702011206575,0.00169,66925,3281709
"BGD",2019,2020,2019.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"RBSVS,2020","Report on Bangladesh Sample Vital Statistics 2020, Bangladesh Bureau of Statistics (BBS)",NA,NA,NA,NA,0.0843887428747497,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,64910,3319802,0.00165,0.0843887428747497,0.00165,64910,3319802
"BGD",2020,2021,2020.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"RBSVS,2020","Report on Bangladesh Sample Vital Statistics 2020, Bangladesh Bureau of Statistics (BBS)",NA,NA,NA,NA,0.0960674719209069,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,57249,3374090,0.00163,0.0960674719209069,0.00163,57249,3374090
"NAM",2020,2021,2020.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"MCDN, 2021","Mortality and Causes of Deaths in Nambia 2018-2021, Nambia Statistics agency",NA,NA,NA,NA,0.0273047508912656,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.1,NA,NA,NA,NA,NA,2244,75551,0.000811,0.0273047508912656,0.000811,2244,75551
"SLE",2018,2020,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"NRMS, 2020","Child, maternal, and adult mortality in Sierra Leone: nationally representative mortality survey 2018–20 Carshon-Marsh, Ronald et al. The Lancet Global Health, Volume 10, Issue 1, e114 - e123",NA,NA,NA,NA,0.195708919083042,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Study not nationally representative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,NA,13174,505543,NA,0.195708919083042,NA,13174,505543
"SLE",2018,2024,2021,NA,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"RCDSL, 2023","Report on Causes of Death in Sierra Leone 2018-2023, Healthy Sierra Leone (HEAL-SL): 2023.",NA,NA,NA,NA,NA,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM could not be obtained",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37599,1532511,NA,NA,NA,37599,1532511
"LBN",2021,2022,2021.5,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"MDSR, 2023","2020-2022 Report, Maternal Death Surveillance and Response, Ministry of Public Health-Lebanon",NA,NA,NA,NA,0.0305309158686731,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.1,95520,NA,NA,NA,NA,1462,94769,0.000471000000000001,0.0305309158686731,0.000471000000000001,1462,94769
"LBN",2022,2023,2022.5,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"MDSR, 2023","2020-2022 Report, Maternal Death Surveillance and Response, Ministry of Public Health-Lebanon",NA,NA,NA,NA,0.0179558823529412,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,97232,NA,NA,NA,NA,969,94050,0.000185,0.0179558823529412,0.000185,969,94050
"DZA",2015,2015.25,2015.125,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"Ministère de la Santé et de la Réforme Hospitalière. Couverture du système de notification des décès maternels. Algeria ; 2016.",NA,NA,NA,NA,NA,0.0755369173330764,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.9,109305,NA,NA,NA,NA,2594.75,258233.75,0.000759,0.0755369173330764,0.000759,2594.75,258233.75
"USA",2022,2023,2022.5,NA,817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"Health E-stats 2024","Maternal Mortality Rates in the United States, 2022, Health E-stats 2024, by Donna L. Hoyert",NA,NA,NA,NA,0.0091967551188722,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,NA,NA,NA,NA,NA,90938,3750379,0.000223,0.0091967551188722,0.000223,90938,3750379
"ZAF",2017,2018,2017.5,NA,1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"NCCEMD, 2022","Saving morthers factsheet - National maternal mortality rate 2022; National Committee for Confidential Enquiries into Maternal Death; Department of Health; South Africa; 2022",NA,NA,NA,NA,0.0203832124777434,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.89,NA,NA,NA,NA,NA,71327,1154876,0.0012589,0.0203832124777434,0.0012589,71327,1154876
"ZAF",2018,2019,2018.5,NA,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"NCCEMD, 2022","Saving morthers factsheet - National maternal mortality rate 2022; National Committee for Confidential Enquiries into Maternal Death; Department of Health; South Africa; 2022",NA,NA,NA,NA,0.0199888481212227,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.69,NA,NA,NA,NA,NA,68502,1163460,0.0011769,0.0199888481212227,0.0011769,68502,1163460
"ZAF",2019,2020,2019.5,NA,1022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"NCCEMD, 2022","Saving morthers factsheet - National maternal mortality rate 2022; National Committee for Confidential Enquiries into Maternal Death; Department of Health; South Africa; 2022",NA,NA,NA,NA,0.0177701707074886,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.82,NA,NA,NA,NA,NA,65259,1173511,0.000988199999999999,0.0177701707074886,0.000988199999999999,65259,1173511
"ZAF",2020,2021,2020.5,NA,1336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"NCCEMD, 2020","Saving morthersannual report for 2020; National Committee for Confidential Enquiries into Maternal Death; Department of Health; South Africa; 2020; https://www.health.gov.za/wp-content/uploads/2023/06/13-10-22-Saving-Mothers-Annual-Report-2020.pdf",NA,NA,NA,NA,0.0220749236614086,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.06,1035255,NA,NA,NA,NA,67515,1182285,0.0012606,0.0220749236614086,0.0012606,67515,1182285
"ZAF",2021,2022,2021.5,NA,1504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"NCCEMD, 2021","Saving morthers annual report- 2021; National Committee for Confidential Enquiries into Maternal Death; Department of Health; South Africa; 2021; https://www.health.gov.za/wp-content/uploads/2023/09/Saving-Mothers-Report-2021.pdf",NA,NA,NA,NA,0.0226413058309787,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.1,1015782,NA,NA,NA,NA,77860,1190312,0.001481,0.0226413058309787,0.001481,77860,1190312
"ZAF",2022,2023,2022.5,NA,1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"NCCEMD, 2022","Saving morthers factsheet - National maternal mortality rate 2022; National Committee for Confidential Enquiries into Maternal Death; Department of Health; South Africa; 2022",NA,NA,NA,NA,0.0204115486425162,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.6,968128,NA,NA,NA,NA,63905,1190146,0.001096,0.0204115486425162,0.001096,63905,1190146
"BGR",2022,2023,2022.5,1635,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"NSI, 2023","Maternal Mortality Bulgaria 2000-2023, National Statistical Institute. Country Consultation 2024.",NA,NA,NA,NA,0.00428134556574924,NA,"misc","maternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data included as CRVS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data from CC 2024",1722,64058,0.000115090653223956,0.00428134556574924,0.000115090653223956,1722,64058
