"iso_alpha_3_code","year","mmr"
"DMA",2000,46.2862610717497
"DMA",2001,44.8977742955214
"DMA",2002,48.2071530960402
"DMA",2003,57.9843786530974
"DMA",2004,48.951428125476
"DMA",2005,43.5884246380408
"DMA",2006,52.8984127224953
"DMA",2007,43.5196880419832
"DMA",2008,39.7223233727047
"DMA",2009,38.9660771753467
"DMA",2010,41.3896305176055
"DMA",2011,49.0128252250102
"DMA",2012,44.1204560061312
"DMA",2013,54.9929771277846
"DMA",2014,48.2284738099418
"DMA",2015,63.1221175961148
"DMA",2016,46.5955827706295
"DMA",2017,51.6116049613257
"DMA",2018,44.5348585280169
"DMA",2019,45.3254092632339
"DMA",2020,43.9037419461653
"KNA",2000,138.381302424563
"KNA",2001,123.238111303511
"KNA",2002,105.572062312761
"KNA",2003,102.264738831074
"KNA",2004,106.613315803323
"KNA",2005,107.93102902536
"KNA",2006,101.77722177969
"KNA",2007,95.6401148059591
"KNA",2008,98.3875418042939
"KNA",2009,107.24392953962
"KNA",2010,116.545566161702
"KNA",2011,114.25117197678
"KNA",2012,109.886503872196
"KNA",2013,102.561800769411
"KNA",2014,98.1565300877284
"KNA",2015,91.4252316333683
"KNA",2016,93.1961201272922
"KNA",2017,97.0773437774061
"KNA",2018,95.2212364938669
"KNA",2019,95.5181303356521
"KNA",2020,96.2809417960649
"MHL",2000,193.131735575481
"MHL",2001,185.259363433038
"MHL",2002,184.450586853715
"MHL",2003,185.754312096648
"MHL",2004,191.297771185939
"MHL",2005,199.461595960724
"MHL",2006,212.30731920423
"MHL",2007,220.09715065067
"MHL",2008,226.473764309972
"MHL",2009,231.292608828086
"MHL",2010,236.82076783174
"MHL",2011,240.362338424889
"MHL",2012,241.64467603172
"MHL",2013,243.380334399818
"MHL",2014,245.498746954378
"MHL",2015,241.441350075432
"MHL",2016,242.761316143043
"MHL",2017,240.211302863109
"MHL",2018,235.957740198172
"MHL",2019,233.1235880639
"MHL",2020,232.501347453331
"NRU",2000,251.486336102861
"NRU",2001,279.438883959995
"NRU",2002,272.925466397869
"NRU",2003,276.661908014309
"NRU",2004,278.424182674039
"NRU",2005,277.356778666097
"NRU",2006,272.020446795775
"NRU",2007,260.294282674584
"NRU",2008,252.736653658279
"NRU",2009,244.504152904001
"NRU",2010,229.144750580385
"NRU",2011,207.278174315251
"NRU",2012,196.78287845318
"NRU",2013,184.370435787331
"NRU",2014,172.758994712832
"NRU",2015,164.258324354289
"NRU",2016,158.016565375453
"NRU",2017,154.454818785674
"NRU",2018,152.381675002864
"NRU",2019,149.978219136749
"NRU",2020,149.521582705306
"PLW",2000,91.3101007988471
"PLW",2001,80.6404969208962
"PLW",2002,76.0785485205491
"PLW",2003,74.2584923862095
"PLW",2004,80.4090797513392
"PLW",2005,97.2513780156296
"PLW",2006,108.689230825507
"PLW",2007,120.172787847431
"PLW",2008,133.157836336311
"PLW",2009,143.641997720829
"PLW",2010,146.368083493159
"PLW",2011,153.454232061463
"PLW",2012,167.789488523534
"PLW",2013,177.030894672671
"PLW",2014,185.080347212279
"PLW",2015,187.70894554418
"PLW",2016,181.807386665622
"PLW",2017,177.195828406565
"PLW",2018,166.040948253885
"PLW",2019,152.81142641159
"PLW",2020,137.139302969138
"TUV",2000,214.944135411464
"TUV",2001,214.944817369904
"TUV",2002,214.03212921703
"TUV",2003,214.154605803499
"TUV",2004,205.043836892747
"TUV",2005,199.417003268114
"TUV",2006,206.26762189524
"TUV",2007,204.392509912219
"TUV",2008,202.625323703099
"TUV",2009,202.029214839416
"TUV",2010,202.514483340889
"TUV",2011,182.321745923466
"TUV",2012,182.147213317898
"TUV",2013,179.489985966842
"TUV",2014,178.359254984902
"TUV",2015,175.705391858144
"TUV",2016,172.674976214322
"TUV",2017,169.590793142886
"TUV",2018,166.757207815668
"TUV",2019,151.792108095837
"TUV",2020,150.563589432817
