"iso_alpha_3_code","year_mid","year_start","year_end","final_pm","include","include_reason","citation_short","env_total_imputed","live_births_imputed","obs_selogpm","type","definition"
"MLI",2008.7554945,2008.247253,2009.263736,0.347,TRUE,NA,"Census",NA,700812.828000076,NA,"census","pregn"
"MMR",2013.74520547945,2013.24657534247,2014.24383561644,0.108,TRUE,NA,"Census",NA,938421.917808257,NA,"census","pregn"
"MOZ",2007.081044,2006.582418,2007.57967,0.1305,TRUE,NA,"Census",NA,866911.440000102,NA,"census","pregn"
"NAM",2011.156593,2010.656593,2011.656593,0.0716,TRUE,NA,"Census",NA,65313.1859999999,NA,"census","pregn"
"NIC",2004.7,2004,2005.4,0.0848,TRUE,NA,"Census",NA,193200.000000013,NA,"census","pregn"
"NPL",2010.965659,2010.458791,2011.472527,0.210778092355755,TRUE,NA,"Census",NA,624057.530999927,NA,"census","pregn"
"PRK",2008.2486265,2007.75,2008.747253,0.0218,FALSE,"Quality of census measurement not clear","Census",NA,340560.526,NA,"census","pregn"
"PRY",2001.5,2001,2002,0.107,TRUE,NA,"Census",NA,138000,NA,"census","pregn"
"RWA",2012.120879,2011.620879,2012.620879,NA,FALSE,"Quality of census measurement not clear","Census",NA,356000,NA,"census","pregn"
"SDN",2007.5,2007,2008,0.3382,TRUE,NA,"Census",NA,1159000,NA,"census","pregn"
"SLB",2009.392857,2008.892857,2009.892857,0.1133,TRUE,NA,"Census",NA,17892.857,NA,"census","pregn"
"SLV",2006.8695055,2006.35989,2007.379121,NA,TRUE,NA,"Census",NA,127285.742999999,NA,"census","pregn"
"SSD",2007.5,2007,2008,0.2454,TRUE,NA,"Census",NA,340000,NA,"census","pregn"
"SWZ",2006.821429,2006.321429,2007.321429,0.105937633,TRUE,NA,"Census",NA,34000,NA,"census","pregn"
"TLS",2010.024725,2009.524725,2010.524725,0.21,TRUE,NA,"Census",NA,34475.275,NA,"census","pregn"
"TZA",2012.16666666667,2011.66666666667,2012.66666666667,0.268,TRUE,NA,"Census",NA,1827333.33333333,NA,"census","pregn"
"ZAF",2001.27,2000.77,2001.77,0.064,TRUE,NA,"Census",NA,964610,NA,"census","pregn"
"ZAF",2011.2733515,2010.774725,2011.771978,0.032,TRUE,NA,"Census",NA,1161412.379,NA,"census","pregn"
"ZMB",2010.269231,2009.75,2010.788462,0.133814,TRUE,NA,"Census",NA,595154.111999989,NA,"census","pregn"
"ZWE",1992.13,1991.63,1992.63,0.11,TRUE,NA,"Census",NA,360780.000000001,NA,"census","pregn"
"ZWE",2002.153846,2001.653846,2002.653846,0.073,TRUE,NA,"Census",NA,432307.692,NA,"census","pregn"
"ZWE",2012.126374,2011.626374,2012.626374,0.0980693961915652,TRUE,NA,"Census",NA,488879.122,NA,"census","pregn"
