"iso_alpha_3_code","year_mid","year_start","year_end","final_pm","include","include_reason","citation_short","env_total_imputed","live_births_imputed","obs_selogpm","type","definition"
"TLS",2015.125,2014.625,2015.625,0.230283911671924,TRUE,NA,"Census",NA,33375,NA,"census","pregn"
"SLE",2015.45833333333,2014.95833333333,2015.95833333333,0.171143394648829,TRUE,NA,"Census",NA,253041.666666667,NA,"census","pregn"
"BTN",2016.91666666667,2016.41666666667,2017.41666666667,0.0192730443159923,TRUE,NA,"Census",NA,11583.3333333333,NA,"census","pregn"
"KHM",2018.70833333333,2018.20833333333,2019.20833333333,0.137360356738769,TRUE,NA,"Census",NA,332958.333333334,NA,"census","pregn"
"MDG",2017.91666666667,2017.41666666667,2018.41666666667,0.223,TRUE,NA,"Census",NA,855000.000000001,NA,"census","pregn"
"MWI",2018.20833333333,2017.70833333333,2018.70833333333,0.175523136840716,TRUE,NA,"Census",NA,620374.999999999,NA,"census","pregn"
"MOZ",2017.125,2016.625,2017.625,0.135263199360713,TRUE,NA,"Census",NA,1079250,NA,"census","pregn"
"VNM",2018.79166666667,2018.29166666667,2019.29166666667,0.11820405827995,TRUE,NA,"Census",NA,1504958.33333333,NA,"census","pregn"
"BEN",1991.56,1991,1992.12,0.15,TRUE,NA,"Census",NA,268279.999999973,NA,"census","pregn"
"BFA",2006.46,2005.96,2006.96,0.13,TRUE,NA,"Census",NA,635120.000000001,NA,"census","pregn"
"BOL",2000.5,2000,2001,0.175,FALSE,"Quality of census measurement not clear","Census",NA,256000,NA,"census","pregn"
"BTN",2004.91,2004.41,2005.41,0.1252,TRUE,NA,"Census",NA,15000,NA,"census","pregn"
"CPV",2010,2009.5,2010.5,0.0495,TRUE,NA,"Census",NA,11500,NA,"census","pregn"
"KHM",1997.7,1997.2,1998.2,0.202518891687657,TRUE,NA,"Census",NA,358199.999999999,NA,"census","pregn"
"ETH",2006.8875,2006.4,2007.375,0.36041439476554,TRUE,NA,"Census",NA,3139199.99999971,NA,"census","pregn"
"GHA",2010.236264,2009.736264,2010.736264,0.0907427954538639,TRUE,NA,"Census",NA,838461.543999998,NA,"census","pregn"
"GMB",2012.74657534247,2012.24657534247,2013.24657534247,0.2643,TRUE,NA,"Census",NA,83246.5753424658,NA,"census","pregn"
"GNB",2008.6607145,2008.162088,2009.159341,0.1853,FALSE,"Quality of census measurement not clear","Census",NA,59835.18,NA,"census","pregn"
"HND",2000.5,2000,2001,0.104,TRUE,NA,"Census",NA,225000,NA,"census","pregn"
"HND",2013.08333333333,2012.58333333333,2013.58333333333,0.077,TRUE,NA,"Census",NA,211416.666666667,NA,"census","pregn"
"IRN",1996.37,1995.87,1996.87,0.04123933930692,TRUE,NA,"Census",NA,1157870.00000001,NA,"census","pregn"
"KEN",2009.16666666667,2008.66666666667,2009.66666666667,0.2068,TRUE,NA,"Census",NA,1474333.33333333,NA,"census","pregn"
"KHM",2007.67,2007.17,2008.17,0.1968,TRUE,NA,"Census",NA,341830,NA,"census","pregn"
"LAO",1994.66,1994.16,1995.16,0.225,TRUE,NA,"Census",NA,190680,NA,"census","pregn"
"LAO",2004.66,2004.16,2005.16,0.148225,TRUE,NA,"Census",NA,172840,NA,"census","pregn"
"LAO",2014.66301369863,2014.16438356164,2015.16164383562,0.0896,TRUE,NA,"Census",NA,165545.205479421,NA,"census","pregn"
"LSO",1995.78,1995.28,1996.28,0.102855017940289,TRUE,NA,"Census",NA,60280,NA,"census","pregn"
"LBR",2007.70416666667,2007.2,2008.20833333333,0.185485103132162,TRUE,NA,"Census",NA,149058.333333315,NA,"census","pregn"
"MWI",2008,2007.5,2008.5,0.0276,FALSE,"Quality of census measurement not clear","Census",NA,591000,NA,"census","pregn"
